Run,20141205-001-eq,16000
x (m),WS (cm),Bed (cm)
2,41,28.5
2.1,40.5,27.5
2.2,40,27.5
2.3,39,26.5
2.35,38,26
2.45,37.5,26
2.5,37.5,26
2.6,37.5,25.5
2.7,37.5,26
2.8,38,26
2.9,38,25
3,37.5,25
3.1,37,25
3.2,36,25
3.3,35.5,25
3.4,36,24.5
3.5,36,24
3.6,36,24
3.7,36,24
3.8,35.5,23.5
3.9,35.5,23.5
4,35,23.5
4.1,34.5,23
4.2,34,23
4.3,34,23
4.4,34,23
4.5,34,23
4.6,34,23
4.7,34,22.5
4.8,34,22.5
4.9,34,22
5,33.5,22
5.1,33,22
5.2,32,21.5
5.3,32,21.5
5.4,32,21.5
5.5,32,22
5.6,32,20
5.7,31.5,20
5.8,31.5,20
5.9,31,19.5
6,30.5,19.5
6.1,30.5,19.5
6.2,30,20
6.3,30,20
6.4,30,20
6.5,30,20
6.6,30,20
6.7,30,20
6.8,30,19
6.9,30,19
7,29,19
7.1,28,18
7.2,28,18
7.35,29,18
7.4,29,18.5
7.5,29,18.5
7.6,29,17.5
7.7,28,17
7.8,28,17
7.9,27,16.5
8,26.5,15
8.1,26,15
8.2,26,16
8.3,26.5,16.5
8.4,27,17
8.45,28,17
8.55,28,16.5
8.6,28,16
8.7,27,16
8.8,27,15.5
8.9,26,10
