Run,20150714-001-eq,1500
x (m),WS (cm),BED (cm)
2,32.5,13.5
2.1,32,13
2.2,32,13
2.35,32,12.5
2.45,32,12.5
2.5,32,13
2.6,32,13
2.7,32,12
2.8,30.5,11.5
2.9,32,12
3,31.5,12
3.1,31.5,12
3.2,31,12.5
3.3,31,12.5
3.4,31,13
3.5,31,13.5
3.6,30.5,13.5
3.7,30,13.5
3.8,29.5,13
3.9,29.5,13
4,29.5,12.5
4.1,29.5,12.5
4.2,29,12.5
4.3,29.5,12
4.4,29,11.5
4.5,29,11
4.6,29,10
4.7,30,10
4.8,30,10
4.9,31,10.5
5,31,10
5.1,32,11
5.2,30,10
5.3,29,9
5.4,30,9
5.5,30,9.5
5.6,30,9
5.7,30,9.5
5.8,29.5,9.5
5.9,29,10
6,31,11.5
6.1,29,12
6.2,29,12
6.3,29,12
6.4,29.5,12
6.5,30,12.5
6.6,27.5,12.5
6.7,28,12.5
6.8,28,13
6.9,27,12.5
7,25,12
7.1,26,12
7.2,26,12
7.35,26.5,12
7.4,26.5,12
7.5,26.5,12
7.6,26,12
7.7,26,12
7.8,27,10
7.9,27,9.5
8,27,8
8.1,27.5,8
8.2,28,8
8.3,26,7.5
8.4,27,8
8.45,27.5,7.5
8.55,26,8
8.6,25.5,8
8.7,25,7.5
8.8,27,8
8.9,26,7
