Run,20150715-001-eq,1500
x (m),WS (cm),BED (cm)
2,34.5,13.5
2.1,34,13
2.2,34,12.5
2.35,34,11
2.45,34,10.5
2.5,34,11
2.6,34,11.5
2.7,34,12
2.8,34,13
2.9,33,13
3,33,13.5
3.1,33,12
3.2,32.5,11
3.3,33,10
3.4,32.5,10
3.5,32.5,10
3.6,32.5,10
3.7,33,10
3.8,33,10
3.9,33,10.5
4,33,10.5
4.1,33,11
4.2,32.5,12
4.3,32.5,12
4.4,32.5,12.5
4.5,33,13
4.6,33,13
4.7,32,9.5
4.8,32,9.5
4.9,32.5,10.5
5,32.5,10.5
5.1,32.5,11
5.2,32.5,11.5
5.3,32,12
5.4,32,12
5.5,32,12.5
5.6,31.5,12.5
5.7,31.5,12.5
5.8,30,12.5
5.9,30,13
6,30,10
6.1,30,9
6.2,30,9.5
6.3,30.5,9.5
6.4,31,10
6.5,31.5,10.5
6.6,31,11
6.7,31,11
6.8,31.5,11.5
6.9,31.5,11.5
7,31.5,12
7.1,31.5,12
7.2,31,12
7.35,30,12
7.4,30,12
7.5,30,12
7.6,32,9
7.7,32,9
7.8,32,9
7.9,31.5,9.5
8,31.5,10.5
8.1,31,11
8.2,30.5,11
8.3,31,11
8.4,31,11.5
8.45,31.5,12
8.55,30.5,12.5
8.6,31,12.5
8.7,30.5,12.5
8.8,30,12
8.9,30,12
