Run,20141119-002-eq,12000
x (m),WS (cm),Bed (cm)
2,44.5,30
2.1,44,29.5
2.2,44,29
2.3,43,29
2.35,43,29
2.45,42,29
2.5,42,29
2.6,42,29
2.7,42.5,29
2.8,43,29.5
2.9,42,29
3,41,29
3.1,40,28
3.2,40,28
3.3,41,28.5
3.4,41,28
3.5,41,28
3.6,41,28
3.7,40,27
3.8,40,27
3.9,40,26.5
4,40,27
4.1,40,27
4.2,40,27
4.3,40,27
4.4,40,27
4.5,40,27
4.6,40,26.5
4.7,39,26
4.8,38,25
4.9,37,25
5,37.5,25
5.1,38,25.5
5.2,40,27
5.3,39,26
5.4,38,25.5
5.5,38,25.5
5.6,37,25
5.7,36,24.5
5.8,35,24
5.9,35,23.5
6,35,23
6.1,36,25
6.2,37,25
6.3,37,25
6.4,37,25
6.5,37,26
6.6,36,25
6.7,36,24
6.8,35,23
6.9,35,22.5
7,35,23
7.1,36,24
7.2,37,24.5
7.35,36,23
7.4,35,23
7.5,34,23
7.6,34,22
7.7,34,22.5
7.8,33,21.5
7.9,33,21
8,35,22
8.1,33,22
8.2,33,21
8.3,33,20
8.4,34,19
8.45,34,19
8.55,34,19
8.6,32,19
8.7,31,20
8.8,33,20
8.9,34,10
