Run,20140923-001-eq,3000
x (m),WS (cm),Bed (cm)
2,39,22.5
2.1,39,22
2.2,38.5,21.5
2.3,38,20
2.35,37.5,20.5
2.45,38,21
2.5,38.5,21.5
2.6,38,22
2.7,38,21.5
2.8,37.5,22
2.9,37,22
3,37,22
3.1,37.5,21
3.2,37.5,21.5
3.3,37,21.5
3.4,36,22
3.5,36,21.5
3.6,36,21
3.7,36,21.5
3.8,35,20.5
3.9,36,20
4,36,20
4.1,35.5,21
4.2,36,20
4.3,36,20
4.4,36,20
4.5,36.5,19.5
4.6,36,20
4.7,35,20
4.8,35,20
4.9,36,20.5
5,36,20.5
5.1,36,20.5
5.2,35.5,20
5.3,36,20.5
5.4,36.5,20.5
5.5,36.5,19
5.6,35,20
5.7,35,20
5.8,35,19.5
5.9,35,18.5
6,36,20
6.1,35.5,20.5
6.2,36,20
6.3,36,20
6.4,35.5,19
6.5,35,19
6.6,34.5,19
6.7,34,19
6.8,34,19
6.9,35,19
7,35.5,19
7.1,34,18
7.2,33,19
7.35,33,16
7.4,33,16
7.5,33.5,19
7.6,33,19
7.7,33,19
7.8,33,19.5
7.9,35.5,19
8,35,19
8.1,35,16.5
8.2,33,16
8.3,33,16
8.4,32,16
8.45,32,16
8.55,33,16
8.6,33,16
8.7,33.5,16
8.8,34,15
8.9,35,10
