Run,20141031-001-eq,8000
x (m),WS (cm),Bed (cm)
2,41.5,26.5
2.1,41,26
2.2,40.5,25.5
2.3,40,25
2.35,39.5,25
2.45,39,25
2.5,39,25
2.6,39,25.5
2.7,40,25.5
2.8,39.5,25.5
2.9,38,25
3,37.5,25
3.1,37.5,24.5
3.2,38,24.5
3.3,38,25
3.4,38,24.5
3.5,38,25
3.6,37.5,25
3.7,37,24
3.8,37,24
3.9,37,23.5
4,36.5,23.5
4.1,37,24
4.2,37,23.5
4.3,37,24
4.4,37.5,24
4.5,37,24
4.6,36,23
4.7,35,23
4.8,35,23
4.9,36,23
5,36,23
5.1,36,23
5.2,36,23
5.3,36,23
5.4,36,23
5.5,36,23
5.6,36,22.5
5.7,35,21.5
5.8,35,22.5
5.9,35.5,23.5
6,36,23
6.1,36,22
6.2,35.5,22.5
6.3,35,22
6.4,35,21.5
6.5,35,22.5
6.6,35,22.5
6.7,35,23
6.8,35,23.5
6.9,35,23.5
7,36,23.5
7.1,36,22.5
7.2,36,23
7.35,35,20
7.4,36,22
7.5,35,21
7.6,34,20
7.7,32,19
7.8,35,22
7.9,35,20
8,34.5,20
8.1,33,20.5
8.2,34,20
8.3,34,22
8.4,35,22.5
8.45,34,21
8.55,36,22
8.6,35,20
8.7,33,17
8.8,32,16
8.9,35,10
