Run,20140730-001-eq,2000
x (m),WS (cm),Bed (cm)
2,38,19.5
2.1,38,19
2.2,37.5,18
2.3,37.5,18
2.35,37.5,18.5
2.45,38,19
2.6,38.5,19.5
2.7,38.5,19.5
2.8,37.5,20
2.9,38,20
3,37,20
3.1,36.5,20
3.2,37,19.5
3.3,37.5,20
3.4,36.5,20
3.5,36,20
3.6,36.5,20
3.7,36,19.5
3.8,36,18.5
3.9,36.5,19.5
4,37,20
4.1,37,20
4.2,36,15
4.3,36.5,15.5
4.4,37,16
4.5,37,16.5
4.6,38,17
4.7,36.5,16.5
4.8,37,16
4.9,36,17
5,38,17
5.1,37,17
5.2,36,16.5
5.3,35,15
5.4,36.5,15
5.5,37,15
5.6,36,15.5
5.7,36,15.5
5.8,35.5,15.5
5.9,38,17.5
6,37,17
6.1,37,17.5
6.2,36.5,17.5
6.3,36,17.5
6.4,35,17.5
6.5,35,18
6.6,35,17.5
6.7,35,17
6.8,34.5,17.5
6.9,34,16
7,35,18
7.1,35,18
7.2,32.5,19
7.35,33,18
7.4,32.5,17
7.5,32,17
7.6,32.5,17
7.7,33,13
7.8,35,13
7.9,34.5,13.5
8,34,14
8.1,35,14.5
8.2,35,15
8.3,34.5,15
8.45,34.5,14.5
8.55,33,14.5
8.6,33,15
8.7,35.5,15
8.8,34.5,15
8.9,33.5,10.5
