Run,20140626-001-eq,1500
x (m),WS (cm),BED (cm)
2,36,16
2.1,35.5,15
2.2,35,14
2.3,34.5,14
2.5,35,14
2.6,35,14.5
2.7,34.5,15
2.8,34,15
2.9,35,14
3,35,15
3.1,34.5,15
3.2,34,16
3.3,34,14
3.4,34.5,13.5
3.5,33.5,13.5
3.6,33,15
3.7,32,14.5
3.8,33,14
3.9,34,14.5
4,35,15
4.1,33,13
4.2,33.5,13.5
4.3,33,14
4.4,33,13
4.5,32.5,12.5
4.6,34,12
4.7,32.5,11
4.8,33,11
4.9,33,12
5,35.5,12
5.1,34.5,12
5.2,34,11.5
5.3,35,13
5.4,33,12.5
5.5,33.5,13
5.6,34,12.5
5.7,33,12
5.8,32,12.5
5.9,34,12.5
6,34,13
6.7,35,9.5
6.8,32,10
6.9,33,10
7,34,11.5
7.1,34,11
7.2,33.5,11.5
7.4,32,12
7.5,33.5,12.5
7.6,33.5,12.5
7.7,34,12
7.8,32.5,12
7.9,30,11.5
8,34,12.5
8.1,33,13
8.2,32,13.5
8.3,32.5,10
8.4,32.5,10
8.6,33.5,10
8.7,32.5,10
8.8,32,10
8.9,31,10
