Run,20140923-002-eq,3000
x (m),WS (cm),Bed (cm)
2,40.5,23
2.1,40,22.5
2.2,40,21.5
2.3,39,21.5
2.35,39.5,21
2.45,39.5,21
2.5,40,22
2.6,40,22
2.7,40,23
2.8,37.5,23.5
2.9,37.5,24
3,38,24
3.1,38.5,24.5
3.2,38.5,24.5
3.3,38,24.5
3.4,37,23.5
3.5,38,21
3.6,38,20.5
3.7,38.5,21
3.8,38.5,21
3.9,38,21.5
4,37,21.5
4.1,38.5,22.5
4.2,39.5,22
4.3,38.5,21.5
4.4,38,21
4.5,38,21
4.6,38.5,21
4.7,38,21
4.8,38,20.5
4.9,37,20.5
5,37,22
5.1,38.5,21.5
5.2,37,22.5
5.3,37,22.5
5.4,37.5,22
5.5,37,21.5
5.6,37,21
5.7,39,18
5.8,36.5,19.5
5.9,36,20
6,36,19.5
6.1,36.5,20
6.2,37,21
6.3,36.5,21.5
6.4,36,21
6.5,36,20.5
6.6,35,18.5
6.7,34.5,18
6.8,35,18.5
6.9,35,19
7,36,19.5
7.1,38,20
7.2,37.5,20
7.35,36.5,19
7.4,36,19
7.5,37,19
7.6,37,19
7.7,37,19
7.8,36.5,19
7.9,36,18
8,35,19
8.1,35,19
8.2,35,19.5
8.3,35,18
8.4,33,17
8.45,33,16
8.55,32,16
8.6,33,16
8.7,33,15.5
8.8,32,15
8.9,32,10
