Run,20141031-002-eq,8000
x (m),WS (cm),Bed (cm)
2,43,28
2.1,42.5,27.5
2.2,41.5,26.5
2.3,41,26
2.35,40.5,26
2.45,40,26
2.5,40,27
2.6,40.5,27
2.7,41,27
2.8,40,26.5
2.9,39,25.5
3,38.5,25.5
3.1,38.5,26
3.2,39,26
3.3,39,26
3.4,39,26
3.5,39,26
3.6,39,26
3.7,39,24.5
3.8,38,25
3.9,38,24.5
4,37.5,24.5
4.1,38,25
4.2,38,25
4.3,38.5,25
4.4,39,25.5
4.5,36,23.5
4.6,36,23
4.7,35.5,23
4.8,36,23
4.9,36.5,24
5,37,24
5.1,37,24
5.2,37,24
5.3,36,23
5.4,36.5,23.5
5.5,37,24.5
5.6,35,22
5.7,35,22
5.8,36,23
5.9,35,21
6,35,22.5
6.1,36,22
6.2,36,22
6.3,36,23.5
6.4,35,23
6.5,34.5,23
6.6,35,23
6.7,35,23
6.8,35,23
6.9,35,23
7,34.5,23
7.1,35,23
7.2,35,23
7.35,34,22.5
7.4,35,23
7.5,34,21
7.6,33,21
7.7,34,22
7.8,35,20
7.9,34,20
8,34,20
8.1,35,19
8.2,33,18
8.3,33,21.5
8.4,36,18
8.45,33.5,20
8.55,34,19
8.6,32,16.5
8.7,32,16
8.8,32,15
8.9,32,10
