Run,20150616-001-eq,20000
x (m),WS (cm),Bed (cm)
2,40,28.5
2.1,39.8,28
2.2,39,27.5
2.3,38,26.5
2.35,38,26.5
2.45,37,26
2.5,37,26
2.6,37,26.5
2.7,37,26
2.8,37.5,26
2.9,37,25.5
3,37,25.5
3.1,37,26
3.2,35.5,24.5
3.3,35,25
3.4,34,25
3.5,35,24.5
3.6,35,24
3.7,35,24.5
3.8,35,24
3.9,35,24
4,34.5,24
4.1,34,24
4.2,34,23.5
4.3,34,23
4.4,34,23
4.5,34,23
4.6,34,23
4.7,34.5,23
4.8,33.5,23
4.9,34.5,23.5
5,34,23.5
5.1,34,23
5.2,33,22
5.3,32,21.5
5.4,32,22
5.5,32.5,21.5
5.6,32,21
5.7,32,21
5.8,32,21
5.9,32.5,21
6,32,21
6.1,32,21
6.2,32,21
6.3,32,21
6.4,32,21
6.5,32,21
6.6,32,20.5
6.7,31,20
6.8,31,20
6.9,31,20
7,31,20
7.1,31,20
7.2,30.5,20
7.35,30.5,20
7.4,29,19
7.5,29,19
7.6,29,19
7.7,29.5,19
7.8,29.5,19
7.9,29.5,18.5
8,29,18.5
8.1,28,18
8.2,28,18
8.3,28,18
8.4,28,17.5
8.45,28,17.5
8.55,28,17.5
8.6,28,17.5
8.7,28,17.5
8.8,28,17
8.9,28,10
