Run,20140718-001-eq,1000
x (m),WS (m),BED (m)
2,37,16
2.1,37,16
2.2,36.5,15
2.3,36.5,14.5
2.5,37,15
2.6,37,15
2.7,37,15
2.8,37,15.5
2.9,37,16
3,36,16
3.1,36,16
3.2,35.5,15
3.3,35.5,15.5
3.4,36,15
3.5,36,14.5
3.6,35.5,14.5
3.7,36,14
3.8,35,14
3.9,36,14
4,36,14
4.1,36.5,14
4.2,36,14
4.3,36,14
4.4,35.5,14.5
4.5,36,14.5
4.6,36,14.5
4.7,36,14.5
4.8,36.5,13.5
4.9,37,14.5
5,37,14.5
5.1,37,14.5
5.2,36,14.5
5.3,36,14.5
5.4,36,13
5.5,35,13
5.6,35,13
5.7,36,12
5.8,36,13
5.9,35.5,14
6,36,14
6.1,35,14
6.2,35,15
6.3,34,15
6.4,35,15
6.5,35,15
6.6,35,15
6.7,35,13.5
6.8,35,13.5
6.9,34,14.5
7,35,14.5
7.1,35,14.5
7.2,35.5,13
7.4,35,13
7.5,35,13
7.6,35,13
7.7,35,13.5
7.8,36,13
7.9,35,13
8,35.5,12
8.1,35,12
8.2,34,12
8.3,34,13
8.45,34,13
8.55,34,14
8.6,34,14
8.7,34,14
8.8,34,12
8.9,35,9
