Run,20140909-002-eq,2500
x (m),WS (cm),Bed (cm)
2,40,21.5
2.1,40,21
2.2,39.5,20
2.3,38.5,20
2.35,38,20
2.45,38,21
2.5,39,21.5
2.6,39,21.5
2.7,38.5,22
2.8,38,22
2.9,38,22.5
3,38,23
3.1,38,23.5
3.2,38,23.5
3.3,38,23
3.4,38,22
3.5,38,21
3.6,36,21
3.7,36.5,20
3.8,36,20
3.9,36,21
4,36,21
4.1,36,21
4.2,36,21
4.3,37,20
4.4,37,20
4.5,36.5,20
4.6,36,20.5
4.7,35,20
4.8,35,20
4.9,36,20
5,36,19.5
5.1,36,19.5
5.2,35.5,19.5
5.3,36,20
5.4,36,20
5.5,36,18.5
5.6,36,19
5.7,37,19
5.8,35,19
5.9,33.5,20
6,33.5,20
6.1,36.5,21
6.2,36,20
6.3,35.5,19
6.4,35,18.5
6.5,35,19
6.6,35,20
6.7,38,20
6.8,36.5,19
6.9,36,18
7,35,18
7.1,36,17.5
7.2,35,18.5
7.35,36.5,17.5
7.4,34,17
7.5,34,16.5
7.6,34,17
7.7,36,17.5
7.8,32,15
7.9,35,15
8,35,16
8.1,38,18
8.2,34,17.5
8.3,36,18
8.4,35,19
8.45,35,18.5
8.55,35,18
8.6,35,18
8.7,35,17.5
8.8,33,17.5
8.9,32.5,10
