Run,20150616-001-eq,20000
x (m),WS (cm),Bed (cm)
2,41.5,30
2.1,41,29.5
2.2,39,29
2.3,39,27.5
2.35,39,27.5
2.45,38,27.5
2.5,38,27.5
2.6,38,27.5
2.7,38,27.5
2.8,38,27
2.9,37.5,27
3,37,26.5
3.1,37,26.5
3.2,36,26
3.3,35,26
3.4,35,25
3.5,35,25
3.6,35.5,27
3.7,35,25
3.8,35,25
3.9,35,25
4,35,25
4.1,35,25
4.2,34.5,24.5
4.3,34,25
4.4,34,25
4.5,34,23.5
4.6,33.5,23.5
4.7,33.5,23.5
4.8,33.5,23
4.9,34,24
5,34,24
5.1,34,23.5
5.2,33.5,23
5.3,33,22.5
5.4,33,22
5.5,32,22
5.6,32,22
5.7,31.5,21.5
5.8,32,22
5.9,32,22
6,32,21.5
6.1,32,21.5
6.2,31.5,21
6.3,31.5,21
6.4,31,21
6.5,31,21
6.6,31,21
6.7,31,21
6.8,31,21
6.9,31,21
7,31,21
7.1,31,21
7.2,31,21
7.35,31,20.5
7.4,30,20
7.5,30,20
7.6,29.5,19.5
7.7,29,19.5
7.8,28,19
7.9,28,18
8,28,18
8.1,28,18
8.2,28,19
8.3,28,18
8.4,28,18
8.45,27.5,17.5
8.55,27,17.5
8.6,27,17
8.7,27,17
8.8,27,17
8.9,27,10
