Run,20140711-003-eq,500
x (m),WS (m),BED (m)
2,36.5,13
2.1,36.5,13
2.2,36,12
2.3,36,12
2.5,37,12
2.6,36.5,12
2.7,37,11
2.8,37,11
2.9,37,12
3,36.5,12.5
3.1,36,12.5
3.2,36,13
3.3,36,13.5
3.4,36,14
3.5,36,14
3.6,36,14
3.7,35.5,14
3.8,34,14.5
3.9,36,15
4,35,15
4.1,35,15
4.2,35,15
4.3,35,15
4.4,35.5,15
4.5,35.5,16
4.6,36,15
4.7,36,15
4.8,35.5,14.5
4.9,35,10
5,36,10
5.1,35.5,10
5.2,35.5,10.5
5.3,36,10.5
5.4,36,11
5.5,36,11.5
5.6,35.5,11.5
5.7,35.5,11
5.8,35,11.5
5.9,35.5,12
6,35,13
6.1,35,15
6.2,35,14
6.3,36,13.5
6.4,36,13.5
6.5,36,14
6.6,35,14
6.7,35,13.5
6.8,33,13.5
6.9,35,13
7,34,14.5
7.1,34,8.5
7.2,35,8.5
7.4,35,8
7.5,35,9
7.6,36,9.5
7.7,35,10
7.8,35,9.5
7.9,35,9.5
8,35,10
8.1,35,10
8.2,35,11
8.3,35,12
8.4,34.5,12
8.6,34.5,9
8.7,34.5,9
8.8,35,9
8.9,35,8
