Run,2015707-001-eq,20000
x (m),WS (cm),Bed (cm)
2,42.5,31
2.1,42,31
2.2,41.5,30.5
2.3,41,29.5
2.35,40,29
2.45,39,28.5
2.5,39,28.5
2.6,39,28.5
2.7,39,28
2.8,39,28
2.9,39,28
3,38.5,28
3.1,38,28
3.2,38,27.5
3.3,37.5,27.5
3.4,37,27
3.5,37,27
3.6,37,27
3.7,37,26
3.8,36.5,26.5
3.9,36.5,26.5
4,36.5,26
4.1,36,26
4.2,36,25.5
4.3,36,25
4.4,36,25
4.5,35,25
4.6,35,25
4.7,35,25
4.8,35,25
4.9,35,25
5,35,25
5.1,34.5,25
5.2,34,24
5.3,34,24
5.4,34,24
5.5,33.5,24
5.6,33,23
5.7,33.5,23
5.8,33,23
5.9,33,23
6,32,22
6.1,32,22.5
6.2,32,22.5
6.3,32,22.5
6.4,32,22
6.5,32,22
6.6,32,22
6.7,32,22
6.8,31.5,22
6.9,31,22
7,31,21
7.1,31,21
7.2,30.5,21
7.35,30,21
7.4,30,21
7.5,29.5,21
7.6,29.5,20.5
7.7,29,20
7.8,29,20
7.9,28.5,19.5
8,28.5,19.5
8.1,28,19
8.2,27.5,18.5
8.3,27.5,18.5
8.4,27.5,18.5
8.45,28,18.5
8.55,27.5,19
8.6,28,19
8.7,28,19
8.8,28,19
8.9,27,10
