Run,20140909-003-eq,2500
x (m),WS (cm),Bed (cm)
2,39.5,22.5
2.1,39.5,22
2.2,39,21.5
2.3,38.5,21
2.35,38,20.5
2.45,38,21
2.5,38,21
2.6,38,21.5
2.7,38.5,21
2.8,38.5,21
2.9,38.5,21.5
3,38.5,22
3.1,38,21.5
3.2,37,23
3.3,37,22.5
3.4,37,22
3.5,36.5,21.5
3.6,35.5,21.5
3.7,35.5,21
3.8,36,21
3.9,36,20.5
4,36,20
4.1,36,20.5
4.2,36,21
4.3,37,21.5
4.4,37.5,21
4.5,37,20
4.6,37,20
4.7,37,20
4.8,36.5,18
4.9,36,17
5,37,17
5.1,36,16.5
5.2,37,17
5.3,37,18
5.4,37,18
5.5,37,17.5
5.6,35,17.5
5.7,37,17.5
5.8,36,17
5.9,35.5,18.5
6,36,18.5
6.1,37.5,19
6.2,35.5,19
6.3,35,19
6.4,35,19
6.5,35.5,19
6.6,35,19.5
6.7,36,20
6.8,34,19.5
6.9,34,19
7,36,19
7.1,35,18.5
7.2,35.5,16
7.35,37,16
7.4,36,16
7.5,35.5,16
7.6,35.5,16.5
7.7,37,17
7.8,35,16.5
7.9,33,17
8,35,17
8.1,35,17
8.2,35,17
8.3,35,17
8.4,35,17
8.45,35,17
8.55,33,17
8.6,34,17
8.7,35,16.5
8.8,34,16
8.9,33,10
