Run,20140624-002-eq,1500
x (m),WS (cm),BED (cm)
2,36,15
2.1,35.5,14.5
2.2,35,14
2.3,34.5,14
2.5,35,14.5
2.6,35,14.5
2.7,34,15
2.8,34,14
2.9,34,15
3,34.5,14
3.1,34,13.5
3.2,34.5,13
3.3,35,12
3.4,34,15.5
3.5,34,14
3.6,34.5,13
3.7,34,12.5
3.8,33.5,12
3.9,33.5,14
4,35,13.5
4.1,33.5,13
4.2,33,14
4.3,33.5,13
4.4,34,13
4.5,34.5,13.5
4.6,33.5,13.5
4.7,34,13
4.8,34,12.5
4.9,33,13
5,35,12.5
5.1,33.5,11
5.2,32,10
5.3,31.5,10
5.4,32.5,12
5.5,33,11.5
5.6,33,12
5.7,33.5,11
5.8,33.5,10
5.9,33,11
6,34.5,12
6.7,32.5,10
6.8,31.5,10
6.9,30,10
7,33,10.5
7.1,33,10.5
7.2,33.5,9.5
7.4,31.5,10.5
7.5,32.5,10.5
7.6,32.5,11
7.7,33,11.5
7.8,32.5,11.5
7.9,34,12
8,34.5,10.5
8.1,32,11.5
8.2,32,12
8.3,31,12.5
8.4,32.5,13
8.5,33,13
8.6,32.5,12.5
8.7,31,11.5
8.8,31,10
8.9,30,9.5
