Run,20150616-001-eq,16000
x (m),WS (cm),Bed (cm)
2,38,25.5
2.1,37.5,24.5
2.2,37,24
2.3,36,24
2.35,35.5,23.5
2.45,35,23.5
2.5,35,23.5
2.6,34.5,23
2.7,35,23
2.8,35,23
2.9,35,23
3,34.5,22.5
3.1,34.5,23
3.2,34,22
3.3,33.5,21.5
3.4,32.5,21.5
3.5,33.5,21.5
3.6,32.5,21.5
3.7,32.5,21.5
3.8,32,21
3.9,32,21
4,31.5,20.5
4.1,31,20.5
4.2,31,20.5
4.3,31,20
4.4,31,20
4.5,30,19.5
4.6,30,19.5
4.7,30.5,19.5
4.8,30,19.5
4.9,30,19.5
5,30,19.5
5.1,29.5,19
5.2,29.5,19
5.3,28.5,18
5.4,28.5,18
5.5,29,18
5.6,28.5,18
5.7,29,17.5
5.8,29,17.5
5.9,29,17.5
6,28.5,17
6.1,28.5,17
6.2,28,17
6.3,28,17
6.4,28,17
6.5,28,17
6.6,28,17
6.7,28,17
6.8,28,17
6.9,27.5,17
7,27.5,16.5
7.1,27.5,16.5
7.2,27,16
7.35,26,15.5
7.4,25.5,15.5
7.5,25,15
7.6,25.5,15
7.7,26,15.5
7.8,25.5,15
7.9,25,15
8,24.5,14.5
8.1,24,13
8.2,23.5,14
8.3,24,14
8.4,25,14.5
8.45,24.5,14
8.55,24.5,14.5
8.6,24,13.5
8.7,24,14
8.8,24,14
8.9,23,13
