Run,20140716-007-eq,500
x (m),WS (m),BED (m)
2,40,17
2.1,40,16.5
2.2,39.5,16
2.3,39.5,16
2.35,39,16
2.45,39,16
2.6,39,16
2.7,39,16
2.8,39.5,16
2.9,39,16
3,39.5,16.5
3.1,39,16
3.2,39,16
3.3,39,16
3.4,39,16
3.5,38.5,16.5
3.6,38.5,16
3.7,38,17
3.8,37,14
3.9,38,14
4,38,15
4.1,38,15
4.2,38,15
4.3,38,15
4.4,38,15
4.5,38,15
4.6,38,14.5
4.7,38,14.5
4.8,37,14.5
4.9,38.5,16
5,38,16
5.1,38,16
5.2,38,14
5.3,38.5,13
5.4,38.5,13
5.5,38.5,12.5
5.6,38.5,12
5.7,38.5,11.5
5.8,38.5,13
5.9,38.5,13
6,38.5,13.5
6.1,39,15.5
6.2,39,14
6.3,39,14
6.4,39,14
6.5,39,14
6.6,39,14
6.7,39,14
6.8,38,14
6.9,38.5,13
7,38,14
7.1,38,14.5
7.2,38,15
7.35,37.5,16
7.4,37,16
7.5,37,16.4
7.6,37,17
7.7,37,11
7.8,37,11
7.9,37,11
8,37,11
8.1,37,11.5
8.2,37,12
8.3,37,12.5
8.4,37,13
8.45,37,13
8.55,37.5,14
8.6,37.5,13.5
8.7,37,10
8.8,37,10
8.9,37.5,10
