Run,20140716-008-eq,500
x (m),WS (m),BED (m)
2,41,17.5
2.1,39.5,17.5
2.2,39.5,16
2.3,39.5,16
2.35,39.5,16.5
2.45,40,16.5
2.6,39.5,16.5
2.7,40,17.5
2.8,40,17
2.9,40,17
3,40,17
3.1,39.5,17
3.2,39.5,16.5
3.3,39.5,16.5
3.4,39.5,16
3.5,39.5,16
3.6,39.5,16
3.7,39.5,16.5
3.8,39,17.5
3.9,40,18
4,39.5,18
4.1,39,18
4.2,39,14
4.3,39.5,14.5
4.4,39.5,14.5
4.5,39.5,14.5
4.6,40,14.5
4.7,40,14.5
4.8,38,15
4.9,40,15.5
5,39.5,16
5.1,40,16
5.2,40,15
5.3,40,15
5.4,39.5,12.5
5.5,39.5,13
5.6,39,13
5.7,39,13.5
5.8,39.5,14.5
5.9,39,15.5
6,38.5,16
6.1,40,18
6.2,39,18
6.3,39,19
6.4,39,18
6.5,39,18
6.6,38.5,11.5
6.7,38.5,12
6.8,37,12.5
6.9,39,13
7,39,13
7.1,38.5,13.5
7.2,38,14
7.35,38,14
7.4,38,14
7.5,38,14
7.6,38,15
7.7,38,10
7.8,38,10
7.9,38,10
8,38,10.5
8.1,38,11.5
8.2,38,12
8.3,38,13
8.4,38,14
8.45,38,14
8.55,38,10
8.6,38,10
8.7,38,10
8.8,38,10
8.9,38,10
