Run,20140716-009-eq,500
x (m),WS (m),BED (m)
2,41,18
2.1,40.5,17
2.2,40.5,16
2.3,40.5,16
2.35,40.5,16
2.45,40,17
2.6,40,17
2.7,40,18
2.8,40,18.5
2.9,39.5,16
3,40,17
3.1,40,17
3.2,40,17
3.3,39.5,17.5
3.4,39.5,17.5
3.5,39.5,17.5
3.6,39.5,17
3.7,39.5,14.5
3.8,39,14.5
3.9,40,15
4,40,15.5
4.1,40,16
4.2,40,16
4.3,40,17
4.4,39.5,17.5
4.5,39.5,18
4.6,40,18
4.7,39.5,18
4.8,37.5,12.5
4.9,40,13.5
5,40,13.5
5.1,40,14
5.2,40,14
5.3,40,15
5.4,40,15
5.5,39.5,15
5.6,39.5,14
5.7,39.5,14
5.8,39,14
5.9,39.5,16.5
6,39,16.5
6.1,40,18
6.2,40,18
6.3,40,18
6.4,40,18
6.5,40,13
6.6,40,13
6.7,40,12.5
6.8,40,12.5
6.9,40,12.5
7,40,11.5
7.1,40,12
7.2,40,13
7.35,39,14
7.4,39,14
7.5,39,14.5
7.6,39,14.5
7.7,39,14.5
7.8,40,14.5
7.9,39.5,14.5
8,39.5,13
8.1,39,13
8.2,39,13
8.3,39,13
8.4,39,13
8.45,39,13
8.55,39,13.5
8.6,39,12.5
8.7,39,12.5
8.8,38.5,12
8.9,39,10
