Run,20140716-004-eq,500
x (m),WS (m),BED (m)
2,38,15
2.1,38,15
2.2,37.5,15
2.3,37.5,14.5
2.35,37.5,15
2.5,38,13.5
2.6,38,14
2.7,38,15
2.8,38,16.5
2.9,38,17
3,38,17
3.1,37.5,17
3.2,37.5,14
3.3,37.5,13.5
3.4,37.5,13.5
3.5,37.5,13.5
3.6,37.5,13.5
3.7,36.5,13.5
3.8,37.5,14.5
3.9,38,15
4,37.5,12
4.1,37,12
4.2,37,12.5
4.3,37,13
4.4,37,13.5
4.5,36.5,14.5
4.6,36.5,14.5
4.7,36,15
4.8,35.5,15
4.9,37,16
5,37,16
5.1,37,11
5.2,37,12
5.3,37,12
5.4,37,12
5.5,37,12.5
5.6,37,13
5.7,36,13
5.8,36,14
5.9,37,15
6,37,15
6.1,37,10
6.2,37,11
6.3,37.5,10
6.4,37,11
6.5,37.5,11.5
6.6,37,12
6.7,37,12
6.8,37,12.5
6.9,37,13
7,37,13.5
7.1,37,14
7.2,37,14.5
7.35,36.5,10
7.4,36.5,10
7.5,36.5,10
7.6,36.5,10.5
7.7,36,11
7.8,36,11.5
7.9,36.5,12
8,36,12
8.1,36.5,12.5
8.2,36.5,13
8.3,36,10
8.4,36,10
8.45,36,10
8.55,36,10.5
8.6,36,10
8.7,35,10.5
8.8,35,11
8.9,36,11
