Run,20140716-001-eq,500,,,,,,,,,,,,,,,,,,,,,
x (m),WS (m),BED (m),,,,,,,,,,,,,,,,,,,,,
2,38,14,,,,,,,,,,,,,,,,,,,,,
2.1,37.5,14,,,,,,,,,,,,,,,,,,,,,
2.2,37.5,13,,,,,,,,,,,,,,,,,,,,,
2.3,37,13,,,,,,,,,,,,,,,,,,,,,
2.35,37,13.5,,,,,,,,,,,,,,,,,,,,,
2.5,37,14,,,,,,,,,,,,,,,,,,,,,
2.6,37,13.5,,,,,,,,,,,,,,,,,,,,,
2.7,37.5,14,,,,,,,,,,,,,,,,,,,,,
2.8,37,14,,,,,,,,,,,,,,,,,,,,,
2.9,37,14.5,,,,,,,,,,,,,,,,,,,,,
3,37,15,,,,,,,,,,,,,,,,,,,,,
3.1,37,15,,,,,,,,,,,,,,,,,,,,,
3.2,37,15,,,,,,,,,,,,,,,,,,,,,
3.3,36.5,15,,,,,,,,,,,,,,,,,,,,,
3.4,36.5,12,,,,,,,,,,,,,,,,,,,,,
3.5,37,12,,,,,,,,,,,,,,,,,,,,,
3.6,37,12,,,,,,,,,,,,,,,,,,,,,
3.7,37.5,12.5,,,,,,,,,,,,,,,,,,,,,
3.8,36,13,,,,,,,,,,,,,,,,,,,,,
3.9,37.5,13,,,,,,,,,,,,,,,,,,,,,
4,37,13,,,,,,,,,,,,,,,,,,,,,
4.1,37,13,,,,,,,,,,,,,,,,,,,,,
4.2,37,13,,,,,,,,,,,,,,,,,,,,,
4.3,37,14,,,,,,,,,,,,,,,,,,,,,
4.4,37,12,,,,,,,,,,,,,,,,,,,,,
4.5,37,12,,,,,,,,,,,,,,,,,,,,,
4.6,37,12,,,,,,,,,,,,,,,,,,,,,
4.7,36.5,12,,,,,,,,,,,,,,,,,,,,,
4.8,36,12.5,,,,,,,,,,,,,,,,,,,,,
4.9,37,13.5,,,,,,,,,,,,,,,,,,,,,
5,37,14,,,,,,,,,,,,,,,,,,,,,
5.1,37,14,,,,,,,,,,,,,,,,,,,,,
5.2,36,15,,,,,,,,,,,,,,,,,,,,,
5.3,36,15.5,,,,,,,,,,,,,,,,,,,,,
5.4,36,15.5,,,,,,,,,,,,,,,,,,,,,
5.5,36,15.5,,,,,,,,,,,,,,,,,,,,,
5.6,36,16,,,,,,,,,,,,,,,,,,,,,
5.7,36,14.5,,,,,,,,,,,,,,,,,,,,,
5.8,35,10,,,,,,,,,,,,,,,,,,,,,
5.9,36,10,,,,,,,,,,,,,,,,,,,,,
6,36.5,10,,,,,,,,,,,,,,,,,,,,,
6.1,36,12,,,,,,,,,,,,,,,,,,,,,
6.2,36.5,12,,,,,,,,,,,,,,,,,,,,,
6.3,36.5,12.5,,,,,,,,,,,,,,,,,,,,,
6.4,37,12.5,,,,,,,,,,,,,,,,,,,,,
6.5,37,13,,,,,,,,,,,,,,,,,,,,,
6.6,36,13,,,,,,,,,,,,,,,,,,,,,
6.7,35,13,,,,,,,,,,,,,,,,,,,,,
6.8,35.5,13,,,,,,,,,,,,,,,,,,,,,
6.9,37,13.5,,,,,,,,,,,,,,,,,,,,,
7,36,14,,,,,,,,,,,,,,,,,,,,,
7.1,36,14,,,,,,,,,,,,,,,,,,,,,
7.2,36,9,,,,,,,,,,,,,,,,,,,,,
7.4,36,10,,,,,,,,,,,,,,,,,,,,,
7.5,35.5,11,,,,,,,,,,,,,,,,,,,,,
7.6,36,11,,,,,,,,,,,,,,,,,,,,,
7.7,36,11,,,,,,,,,,,,,,,,,,,,,
7.8,35,11,,,,,,,,,,,,,,,,,,,,,
7.9,35,12,,,,,,,,,,,,,,,,,,,,,
8,36,13,,,,,,,,,,,,,,,,,,,,,
8.1,35.5,14,,,,,,,,,,,,,,,,,,,,,0.35
8.2,35,14.5,,,,,,,,,,,,,,,,,,,,,0.345
8.3,34.5,14.5,,,,,,,,,,,,,,,,,,,,,0.345
8.4,34.5,15,,,,,,,,,,,,,,,,,,,,,0.35
8.45,35,14.5,,,,,,,,,,,,,,,,,,,,,0.35
8.55,35,14,,,,,,,,,,,,,,,,,,,,,0.35
8.6,35,14,,,,,,,,,,,,,,,,,,,,,0.34
8.7,34,15,,,,,,,,,,,,,,,,,,,,,0.35
8.8,35,15,,,,,,,,,,,,,,,,,,,,,0.35
8.9,35,10,,,,,,,,,,,,,,,,,,,,,
