Run,20140722-006-eq,2000
x (m),WS (cm),Bed (cm)
2,40.5,23
2.1,40,22.5
2.2,40,22
2.35,39.5,21.5
2.45,39.5,21
2.6,40,21
2.7,39,20.5
2.8,39,22
2.9,39.5,22
3,38.5,22
3.1,40,21.5
3.2,40,21
3.3,39.5,21
3.4,40,20.5
3.5,40,21
3.6,40,21
3.7,39.5,20
3.8,39,20
3.9,37.5,20.5
4,39,22
4.1,37.5,21.5
4.2,37,21
4.3,37.5,21
4.4,38,20.5
4.5,39.5,21
4.6,38,20.5
4.7,38.5,20
4.8,37.5,20
4.9,38,18.5
5,40,19
5.1,39,19.5
5.2,38.5,19
5.3,38,18.5
5.4,37,19
5.5,38,19
5.6,39,18
5.7,38,18
5.8,38,19.5
5.9,39.5,19.5
6,39.5,20
6.1,38,20
6.2,37.5,20
6.3,37,20
6.4,36.5,19
6.5,37,19.5
6.6,36.5,21
6.7,38,20.5
6.8,37,20
6.9,36,20.5
7,38,21.5
7.1,37,21
7.2,35.5,21
7.35,36.5,20
7.4,36,18.5
7.5,36,20.5
7.6,36,20
7.7,35.5,17.5
7.8,35,19
7.9,33,20
8,34,20
8.1,36.5,20
8.2,36,19.5
8.3,36.5,18
8.45,35,17.5
8.55,36,17.5
8.6,35,19
8.7,34.5,17.5
8.8,34,17
8.9,34,10
