Run,20150724-003-eq,1500
x (m),WS (cm),BED (cm)
2,32,19.5
2.1,32,19
2.2,32,18.5
2.3,32,18
2.35,32,17.5
2.45,32,15
2.5,32,15
2.6,32,15
2.7,32,15
2.8,32,13.5
2.9,31.5,17.5
3,31,18
3.1,31,18
3.2,31,18
3.3,31,16
3.4,31,16
3.5,31,16
3.6,31,16
3.7,31,15.5
3.8,30,15
3.9,32,15.5
4,31,16.5
4.1,30,16.5
4.2,30.5,16.5
4.3,30,16
4.4,31,16
4.5,31,16
4.6,29,17
4.7,30,17
4.8,30,17
4.9,27.5,17
5,29,17
5.1,29.5,17
5.2,29,17
5.3,29,17.5
5.4,28.5,17
5.5,29,17
5.6,28,15.5
5.7,28,14
5.8,27,14.5
5.9,28,16
6,29,16.5
6.1,29,17.5
6.2,29,17
6.3,27.5,15.5
6.4,27,15
6.5,29,15
6.6,28,15
6.7,27,15
6.8,26,14.5
6.9,28,14
7,30,15
7.1,29,14.5
7.2,29,14.5
7.35,28,15
7.4,28,15
7.5,29,15
7.6,28,15
7.7,27,13.5
7.8,27,13
7.9,28,13.5
8,29,14
8.1,27,13.5
8.2,27,13
8.3,29.5,13
8.4,29,14
8.45,29,14
8.55,28.5,14
8.6,28,15
8.7,27.5,12
8.8,26,12
8.9,25,9
