Run,20141029-001-ag,
x (m),WS (cm),Bed (cm)
2,40.5,25
2.1,41,25
2.2,40,24.5
2.3,40,24.5
2.35,39,24
2.45,39,24.5
2.5,39,24
2.6,39.5,25
2.7,41,25
2.8,40,24.5
2.9,39,24.5
3,38,23.5
3.1,37.5,24
3.2,38,24
3.3,38,24
3.4,37.5,24
3.5,37,23
3.6,37,23
3.7,37,23
3.8,36.5,22.5
3.9,37,22
4,37,23
4.1,37,23.5
4.2,37.5,23
4.3,37.5,23
4.4,37,23
4.5,36,22
4.6,35.5,22
4.7,35.5,22.5
4.8,36,22
4.9,36,22
5,36,22.5
5.1,36,22
5.2,36,22
5.3,35.5,22
5.4,35,22
5.5,34,21.5
5.6,35,21.5
5.7,36,20.5
5.8,35.5,22
5.9,37,22
6,36,22
6.1,36,23
6.2,36,21
6.3,35,21
6.4,36,21.5
6.5,36,20
6.6,35.5,19
6.7,36,20
6.8,35,20
6.9,35.5,19.5
7,35,21
7.1,34.5,21.5
7.2,34.5,20
7.35,33.5,18
7.4,35.5,21
7.5,35,20
7.6,37,20
7.7,33.5,18
7.8,34.5,17.5
7.9,35.5,17.5
8,35,18
8.1,36,20
8.2,34,17
8.3,34,17
8.4,33.5,20
8.45,34.5,17.5
8.55,35,19
8.6,33,16
8.7,33,15.5
8.8,35,16
8.9,37,10
