Run,20140722-004-ag,1000
x (m),WS (m),Bed (m)
2,39,18
2.1,38.5,17.5
2.2,38.5,17
2.3,38.5,16
2.35,38,16
2.45,38.5,17
2.6,38,16.5
2.7,38,17
2.8,38,18
2.9,38,17
3,38,17
3.1,38,17.5
3.2,38.5,18
3.3,38.5,18
3.4,38,15.5
3.5,38.5,15
3.6,38,14.5
3.7,38.5,14.5
3.8,37.5,15
3.9,39,15.5
4,38,16
4.1,37.5,16.5
4.2,37,17
4.3,37.5,17.5
4.4,37.5,18
4.5,37,17
4.6,37,17.5
4.7,36,13
4.8,36,13
4.9,36,14
5,38,13
5.1,37.5,14.5
5.2,37,14.5
5.3,37,14
5.4,36,14
5.5,37,15
5.6,35,15
5.7,35.5,15
5.8,36,15.5
5.9,35.5,17
6,37,17
6.1,36,17
6.2,35,17
6.3,35,17
6.4,36,17.5
6.5,36.5,14
6.6,36.5,14
6.7,36,13.5
6.8,35.5,14
6.9,36,14
7,37,14.5
7.1,36.5,15
7.2,36,15.5
7.35,36,15.5
7.4,35,16
7.5,35,16
7.6,36,12.5
7.7,36,12
7.8,35.5,12
7.9,38,12.5
8,38,13
8.1,36.5,13.5
8.2,36,14
8.3,36,15
8.4,35.5,15
8.45,35,15
8.55,35,15
8.6,35,15
8.7,35,10
8.8,34.5,10
8.9,34.5,10
