Run,20150626-002-ag,10000
x (m),WS (cm),Bed (cm)
2,37.7,24
2.1,37,24
2.2,36,23
2.3,36.5,22.5
2.35,36,22.5
2.45,35,22.5
2.5,35,22
2.6,35,22
2.7,35.5,22
2.8,35.5,22
2.9,35,22
3,34.5,21.5
3.1,34.5,22
3.2,34.5,22
3.3,34,22
3.4,34.5,22
3.5,34.5,21
3.6,34,21.5
3.7,34,20.5
3.8,33.5,20
3.9,33,21
4,32.5,20
4.1,33,20
4.2,33,20
4.3,33,20
4.4,33,20.5
4.5,32.5,20.5
4.6,32.5,19.5
4.7,33,20
4.8,32,20
4.9,31.5,19.5
5,31,19
5.1,31.5,20
5.2,32,20
5.3,32,19
5.4,32,19
5.5,31.5,20
5.6,30,17
5.7,30,17
5.8,30,18
5.9,30.5,19
6,32,20
6.1,32.5,18.5
6.2,32,19
6.3,31.5,18.5
6.4,31,18
6.5,30.5,18
6.6,30.5,18
6.7,30.5,17
6.8,29.5,16
6.9,30,18
7,29,17.5
7.1,29.5,18
7.2,30,18
7.35,28.5,17
7.4,29.5,18
7.5,30,17.5
7.6,30,17.5
7.7,31,17
7.8,30,17
7.9,29.5,16
8,29,16
8.1,30,16
8.2,30,15
8.3,28.5,16
8.4,28,16
8.45,30,17
8.55,30,16.5
8.6,29,15
8.7,30,15
8.8,29,13
8.9,28.5,10
