Run,20140912-002-ag,2500
x (m),WS (cm),Bed (cm)
2,41,23
2.1,40.5,22
2.2,40,22
2.3,40,22
2.35,39,21
2.45,40,21
2.5,40,21
2.6,40,21
2.7,39,21
2.8,38,21
2.9,39,21
3,40,22.5
3.1,40,22
3.2,39.5,22
3.3,39.5,21.5
3.4,39,21.5
3.5,39,21
3.6,39.5,21
3.7,39.5,20
3.8,39,20
3.9,39,19
4,39,20
4.1,39,19
4.2,38.5,19
4.3,39,20
4.4,39,20
4.5,38,20
4.6,38.5,20
4.7,39,20
4.8,38,19
4.9,37,20
5,37,20
5.1,38,20
5.2,38,20
5.3,38,20
5.4,38,20
5.5,38,20
5.6,38,20
5.7,38,20
5.8,38,20
5.9,36,21
6,37.5,21
6.1,39,20
6.2,40,20
6.3,39,20
6.4,39,20
6.5,38,20
6.6,37,20
6.7,37,20
6.8,37,19
6.9,38,20
7,38,19
7.1,38,19
7.2,38.5,19
7.35,37,20
7.4,37.5,20
7.5,37.5,19
7.6,38,19
7.7,38,19
7.8,37,19
7.9,37,19
8,37,18.5
8.1,37,18.5
8.2,37,18.5
8.3,36.5,18
8.4,36,18
8.45,36,18
8.55,36,18
8.6,36,18
8.7,37.5,18.5
8.8,37,17
8.9,36.5,9.5
