Run,20141105-002-ag,
x (m),WS (cm),Bed (cm)
2,44,29
2.1,43.5,28
2.2,43,28.5
2.3,42,27.5
2.35,42.5,28
2.45,42,27
2.5,42,28
2.6,42.5,28
2.7,42.5,28
2.8,41.5,27
2.9,40.5,26.5
3,41,26
3.1,40.5,26.5
3.2,41,27
3.3,40.5,26.5
3.4,40,26.5
3.5,40.5,27
3.6,40.5,26.5
3.7,39.5,25
3.8,40,25
3.9,39.5,25.5
4,40,26
4.1,39.5,26
4.2,42,26.5
4.3,42,26.5
4.4,40,26.5
4.5,39.5,25.5
4.6,39.5,25.5
4.7,39.5,25
4.8,39.5,25
4.9,39,25
5,38.5,25.5
5.1,38.5,26
5.2,39,25.5
5.3,38.5,25
5.4,37.5,24.5
5.5,37,24
5.6,36.5,23.5
5.7,37,23
5.8,37.5,23
5.9,38,25
6,38,25
6.1,39,26
6.2,39,24.5
6.3,38,25
6.4,38,23
6.5,38,23
6.6,37.5,21
6.7,39,24.5
6.8,38.5,24
6.9,38,23
7,38,24
7.1,38,24.5
7.2,38,23
7.35,38,21
7.4,36,22
7.5,35,23
7.6,34,21.5
7.7,36,23
7.8,35.5,20.5
7.9,37.5,21
8,36,23
8.1,37.5,23
8.2,37,21
8.3,37,21
8.4,38,20
8.45,38,22.5
8.55,38,23
8.6,36,21
8.7,35,20
8.8,36,17
8.9,38,10
