Run,20140722-007-ag,1000
x (m),WS (m),Bed (m)
2,41,20
2.1,40.5,19.5
2.2,40,19
2.3,40,18.5
2.35,40,18
2.45,40.5,18.5
2.6,40,18.5
2.7,40,18.5
2.8,40.5,18.5
2.9,40,19
3,39.5,19
3.1,40,18.5
3.2,40,18
3.3,40,19
3.4,39.5,19
3.5,39,19
3.6,39,19
3.7,39,19
3.8,38.5,19
3.9,39,16.5
4,39,17
4.1,39,17.5
4.2,39,17.5
4.3,39,17
4.4,40,16.5
4.5,40,17
4.6,39,17.5
4.7,39,17
4.8,39,17
4.9,39,17
5,39.5,17
5.1,38,17
5.2,39,17
5.3,39,17.5
5.4,39,18
5.5,39,18
5.6,37.5,18.5
5.7,37.5,18.5
5.8,38,13.5
5.9,38,14
6,39,14
6.1,39,15
6.2,39,15
6.3,39,15.5
6.4,39,15.5
6.5,39.5,16
6.6,39.5,16.5
6.7,40,17
6.8,38.5,17
6.9,39,17
7,40,14
7.1,40,14.5
7.2,40,14.5
7.35,39,15
7.4,39,15
7.5,39.5,15.5
7.6,39,16
7.7,40,16
7.8,38.5,16
7.9,39,14
8,40,14
8.1,39.5,14.5
8.2,39,15
8.3,39,15.5
8.4,39,16
8.45,39,16
8.55,38.5,16
8.6,38.5,16.5
8.7,38,17
8.8,38,16.5
8.9,37.5,14
