Run,20150721-001-ag,1500
x (m),WS (cm),BED (cm)
2,34,16.5
2.1,34,16
2.2,34,14
2.35,34,14
2.45,34.5,14
2.5,34.5,14
2.6,34,14
2.7,34,14
2.8,34,14.5
2.9,34,14.5
3,34,14.5
3.1,34,14
3.2,34,14.5
3.3,33,15
3.4,32.5,15
3.5,32.5,15
3.6,32,14
3.7,32.5,11
3.8,32,11.5
3.9,33,12
4,33,13.5
4.1,32.5,13.5
4.2,32.5,13.5
4.3,32,14
4.4,33,15
4.5,32.5,14.5
4.6,32,14
4.7,31.5,14.5
4.8,31,14
4.9,31.5,11.5
5,32.5,12
5.1,32.5,11
5.2,32.5,11
5.3,32,11
5.4,33,11.5
5.5,33.5,12
5.6,32,11.5
5.7,31,11.5
5.8,32,12
5.9,32,12.5
6,33.5,11.5
6.1,32,11
6.2,32,11
6.3,32,11.5
6.4,33,13
6.5,33,13.5
6.6,32,13
6.7,31,13
6.8,30.5,13.5
6.9,30,13.5
7,31.5,11
7.1,31,11
7.2,31,11
7.35,32,11.5
7.4,32,11.5
7.5,31.5,12
7.6,31,12
7.7,31,11.5
7.8,30.5,10
7.9,31,10.5
8,33,11.5
8.1,31.5,12
8.2,31,12.5
8.3,31,12.5
8.4,31,13
8.45,31,13
8.55,30,13
8.6,31,12.5
8.7,30,9
8.8,31,8
8.9,31,8
