Run,20141017-001-eq,
x (m),WS (cm),Bed (cm)
2,42,26.5
2.1,41,26
2.2,40.5,26
2.3,40,25
2.35,39.5,25
2.45,39,25.5
2.5,39,25
2.6,40,25.5
2.7,40.5,26
2.8,40,25.5
2.9,38.5,24.5
3,38,24.5
3.1,38,24.5
3.2,38,24.5
3.3,38.5,24.5
3.4,38,24.5
3.5,38.5,25
3.6,38,24.5
3.7,37,23.5
3.8,37.5,24
3.9,37.5,23.5
4,37.5,23.5
4.1,37.5,24
4.2,37.5,23.5
4.3,37.5,23.5
4.4,37,23
4.5,36.5,23.5
4.6,36,23.5
4.7,36,23
4.8,36,23
4.9,36,22.5
5,36,23
5.1,36,23
5.2,36,22.5
5.3,36,23
5.4,36,22.5
5.5,36,22.5
5.6,35,21.5
5.7,34.5,23
5.8,36,23.5
5.9,36,22.5
6,36.5,22.5
6.1,35.5,23
6.2,35.5,20
6.3,35,22
6.4,34.5,21
6.5,34.5,22.5
6.6,35,23
6.7,35,23
6.8,35,22
6.9,35,21.5
7,35.5,22
7.1,35,22
7.2,34.5,21.5
7.35,36,21
7.4,35,21.5
7.5,33,21.5
7.6,34,20.5
7.7,35.5,21.5
7.8,35.5,22
7.9,36.5,22.5
8,35,19
8.1,35,21.5
8.2,35,20.5
8.3,35,21
8.4,35,21
8.45,34,20
8.55,35,19.5
8.6,35,19.5
8.7,33.5,20
8.8,33,18
8.9,35,10
