Run,20150616-001-eq,16000
x (m),WS (cm),Bed (cm)
2,37.5,25.5
2.1,37,25
2.2,36,24
2.3,35,23
2.35,35,23
2.45,34,22.5
2.5,34,22.5
2.6,33.5,22
2.7,34,23
2.8,34,22.5
2.9,34,22
3,33,22
3.1,33,22
3.2,32.5,21.5
3.3,32,21.5
3.4,31.5,20.5
3.5,31.5,21
3.6,32,21
3.7,32,20.5
3.8,31,20.5
3.9,31,20.5
4,31,20.5
4.1,30.5,19.5
4.2,30.5,20
4.3,30.5,19.5
4.4,30,19.5
4.5,30,19.5
4.6,30,19
4.7,30,19
4.8,30,19.5
4.9,30,19
5,30,19
5.1,30,19.5
5.2,29,18
5.3,29,17.5
5.4,28,17
5.5,28.5,17.5
5.6,28.5,18
5.7,29,17.5
5.8,29,17
5.9,28.5,17
6,28.5,17.5
6.1,28,17
6.2,28,17
6.3,28,17
6.4,28,17
6.5,27.5,17
6.6,27,16.5
6.7,27,16
6.8,27,16
6.9,27,16.5
7,26.5,16
7.1,26.5,16
7.2,26,16
7.35,26,16
7.4,25.5,15.5
7.5,26,15.5
7.6,26,15
7.7,25.5,15
7.8,25.5,14.5
7.9,25.5,13
8,25.5,13
8.1,24,14.5
8.2,24,14
8.3,24,13.5
8.4,24,14
8.45,24,13.5
8.55,24,14
8.6,24,14
8.7,24,13.5
8.8,24,13.5
8.9,23,13
