Run,20140716-005-eq,500
x (m),WS (m),BED (m)
2,38.5,16
2.1,38.5,16
2.2,38,15
2.3,38,14.5
2.35,38,15
2.5,38.5,14
2.6,38.5,15
2.7,38,14
2.8,38.5,14
2.9,38.5,14
3,38.5,14.5
3.1,38.5,15
3.2,38.5,15
3.3,38,15.5
3.4,38,16
3.5,38,14
3.6,38,13.5
3.7,37.5,13
3.8,39,14
3.9,38.5,15
4,38,15
4.1,38,15
4.2,38,15
4.3,37.5,14
4.4,37.5,13.5
4.5,37.5,14
4.6,37.5,13
4.7,37.5,13
4.8,36,13
4.9,38,15
5,37,15.5
5.1,37.5,15.5
5.2,37.5,16
5.3,37.5,12
5.4,37.5,12
5.5,37.5,12.5
5.6,37.5,12.5
5.7,37.5,12.5
5.8,36,12.5
5.9,37,13
6,37,12
6.1,37.5,12
6.2,37.5,12
6.3,37.5,13
6.4,37,14
6.5,37,15
6.6,37,15
6.7,37,10
6.8,36.5,10.511
6.9,37,12
7,37,12.5
7.1,37,12.5
7.2,37,13
7.35,36.5,13.5
7.4,37,13.5
7.5,37,14
7.6,37.5,14.5
7.7,36,14
7.8,36.5,14
7.9,37,14.5
8,37,10
8.1,37,10
8.2,37,11
8.3,37,11
8.4,37,11
8.45,37,12
8.55,37,12
8.6,37,12
8.7,37,12
8.8,37,12
8.9,37,8
