Run,20140722-009-eq,2000
x (m),WS (cm),Bed (cm)
2,42,25.5
2.1,42,24.5
2.2,41.5,23.5
2.35,42,22.5
2.45,42,23
2.6,42,23.5
2.7,41.5,23.5
2.8,41,24
2.9,41.5,25.5
3,41,26
3.1,42,25.5
3.2,41.5,25
3.3,40.5,24.5
3.4,40,25
3.5,40,25.5
3.6,41,25
3.7,40,25
3.8,39,24.5
3.9,38.5,24.5
4,39,23.5
4.1,39.5,22.5
4.2,39,24.5
4.3,39,24
4.4,39,23.5
4.5,40,23
4.6,40,23.5
4.7,39,23
4.8,39,23
4.9,39,23.5
5,40,23.5
5.1,41.5,24
5.2,40,19
5.3,40,18.5
5.4,38.5,18.5
5.5,42,19
5.6,42,18
5.7,41,18.5
5.8,39,19
5.9,39,20
6,42,20
6.1,42,20.5
6.2,41,20.5
6.3,40.5,20.5
6.4,40,21
6.5,41,20.5
6.6,40,21
6.7,40,21
6.8,40,21
6.9,38.5,20.5
7,41,21
7.1,40.5,21.5
7.2,39.5,22
7.35,38.5,22
7.4,39,22
7.5,39,22
7.6,39,22
7.7,39.5,21.5
7.8,37.5,20.5
7.9,36.5,20
8,37.5,20
8.1,40,22
8.2,41,21.5
8.3,39,20
8.45,35.5,20
8.55,36,20
8.6,36,19
8.7,36,18
8.8,35,18
8.9,35,10
