Run,20140730-002-eq,2000
x (m),WS (cm),Bed (cm)
2,39,20
2.1,39,19.5
2.2,38.6,18
2.3,38.6,19
2.35,38.6,18.5
2.45,39,18
2.6,38.6,18
2.7,37,18.5
2.8,38,18.5
2.9,38,18.5
3,38,18.5
3.1,38,18.5
3.2,38,18
3.3,38,18.5
3.4,38.5,19
3.5,38,19.5
3.6,38.5,19
3.7,38,18.5
3.8,37.5,18.5
3.9,36,18.5
4,38.5,19.5
4.1,38,19
4.2,36.5,19
4.3,36.5,19
4.4,36,19
4.5,36.5,18.5
4.6,37.5,18
4.7,36,17
4.8,35,16.5
4.9,35,16.5
5,37.5,17.5
5.1,37,17.5
5.2,36,17
5.3,35.5,16.5
5.4,34.5,16
5.5,34,16.5
5.6,36,15
5.7,35,15
5.8,34.5,18.5
5.9,34,15
6,36,15
6.1,37.5,16
6.2,35,16
6.3,35,16
6.4,35.5,16.5
6.5,36,16
6.6,36.5,16
6.7,36,16
6.8,35.5,16
6.9,35,16.5
7,35,16.5
7.1,35,16.5
7.2,35,16
7.35,33.5,17
7.4,34.5,16.5
7.5,35,16.5
7.6,35,17
7.7,35,17
7.8,35,16
7.9,33.5,16
8,35,16.5
8.1,34,16.5
8.2,33.5,17
8.3,34,16.5
8.45,32,16.5
8.55,35,16
8.6,34,16
8.7,34,15.5
8.8,33,16
8.9,34,10
