Run,20140722-003-ag,1000
x (m),WS (m),Bed (m)
2,38,17
2.1,38,16.5
2.2,37.5,14.5
2.3,37,14.5
2.35,37.5,14.5
2.45,37.5,15.5
2.6,37,16.5
2.7,36.5,17
2.8,37.5,17.5
2.9,36,18.5
3,36.5,19
3.1,36.5,19
3.2,36.5,16
3.3,37,16
3.4,37,15.5
3.5,37,15
3.6,37,15
3.7,36.5,15
3.8,36.5,15
3.9,37,15
4,37,14.5
4.1,37,14.5
4.2,37,14.5
4.3,37.5,15
4.4,38,15
4.5,37,15.5
4.6,37,15.5
4.7,37,16
4.8,36,16
4.9,36,17
5,37.5,16
5.1,37,16.5
5.2,36.5,17
5.3,36.5,16.5
5.4,36.5,16
5.5,36.5,13
5.6,36,13
5.7,36,13
5.8,36.5,12.5
5.9,37,13
6,37,13
6.1,36.5,13.5
6.2,36,14
6.3,36,14
6.4,36.5,14.5
6.5,36.5,14.5
6.6,36,15
6.7,36,15.5
6.8,35.5,16
6.9,36,16
7,36.5,12.5
7.1,36.5,12
7.2,37,12
7.35,36,13
7.4,36.5,12.5
7.5,37,12.5
7.6,36.5,12
7.7,36,12
7.8,35.5,12
7.9,36.5,12
8,36.5,13
8.1,36,13
8.2,36,14
8.3,36,15
8.4,35,15
8.45,35,14.5
8.55,34.5,14.5
8.6,34.5,14
8.7,34.5,14
8.8,34,10
8.9,34,9
