Run,20150626-001-eq,10000
x (m),WS (cm),Bed (cm)
2,35,22
2.1,34,21
2.2,34,21
2.3,33.5,20.5
2.35,33,20
2.45,32.5,20.5
2.5,32.5,21
2.6,32.5,20.5
2.7,32.5,20.5
2.8,33,21
2.9,33,20.5
3,32,20
3.1,31.5,19.5
3.2,31,19.5
3.3,31,19.5
3.4,31,19.5
3.5,31,19.5
3.6,31,19
3.7,31,19
3.8,30,18.5
3.9,30,19
4,30,18
4.1,30,18
4.2,30,18
4.3,30,18
4.4,30,18
4.5,30,18
4.6,30,18
4.7,30,18
4.8,30,17.5
4.9,28,17
5,28,17
5.1,28,16.5
5.2,28.5,17
5.3,30,18
5.4,29,17.5
5.5,29,17
5.6,28,15
5.7,28,15
5.8,27,15
5.9,27,16
6,27.5,16.5
6.1,29,17
6.2,28.5,16
6.3,28.5,17
6.4,29,17
6.5,28,16
6.6,27,15
6.7,27,14.5
6.8,26,14.5
6.9,27,14
7,27,15
7.1,27,15
7.2,28,16
7.35,26.5,14.5
7.4,26,14.5
7.5,26,14
7.6,25,14
7.7,25,13.5
7.8,25,13
7.9,25,13
8,25,13
8.1,25,13
8.2,25,13
8.3,25,13
8.4,25,13
8.45,24,12.5
8.55,24,12.5
8.6,24,12
8.7,24,12
8.8,24,12
8.9,24,13
