Run,20150814-20lps-001-eq,16000
x (m),WS (cm),Bed (cm)
2,41,33.5
2.1,40.5,33
2.2,40,32.5
2.3,39.5,32
2.35,39,31
2.45,38,31
2.5,38,31
2.6,38,31
2.7,38,31
2.8,38,31
2.9,38,30.5
3,37.5,30.5
3.1,37,30
3.2,36.5,29.5
3.3,36,29
3.4,36.5,29.5
3.5,37,29.5
3.6,37,30
3.7,36,29
3.8,35,28
3.9,35,28
4,34.5,27.5
4.1,34,27.5
4.2,34.5,28
4.3,34.5,28
4.4,35,28.5
4.5,34.5,28
4.6,34,27.5
4.7,33.5,26.5
4.8,33,26.5
4.9,33,26.5
5,32.5,26
5.1,32.5,26
5.2,33,26.5
5.3,33,26
5.4,32.5,26
5.5,32,25.5
5.6,31.5,25
5.7,31,24
5.8,31,24
5.9,31,24
6,31,24
6.1,31,24
6.2,31,24
6.3,30.5,24
6.4,30,24
6.5,29.5,23.5
6.6,29.5,23.5
6.7,29.5,23.5
6.8,29.5,23.5
6.9,29.5,23.5
7,29.5,23.5
7.1,29,22.5
7.2,28.5,22
7.35,28,22
7.4,28,22
7.5,28,21.5
7.6,27.5,21
7.7,27,21
7.8,27,21
7.9,27,21
8,27,20.5
8.1,26.5,20
8.2,26,20
8.3,26,20
8.4,26.5,20
8.45,26,20
8.55,26.5,19.5
8.6,26,19
8.7,25.5,19
8.8,25,19
8.9,25,10
