Run,20140716-003-eq,500
x (m),WS (m),BED (m)
2,38,15
2.1,38,14.5
2.2,37.5,13.5
2.3,37.5,13.5
2.35,37,13
2.5,37.5,14
2.6,37,14.5
2.7,38,15
2.8,37,15
2.9,37,16
3,37,14.5
3.1,36.5,16.5
3.2,36.5,15
3.3,37,15
3.4,37,15
3.5,37,15
3.6,37,14.5
3.7,37,15
3.8,36.5,12
3.9,37,13
4,37,14
4.1,37,14
4.2,36.5,14.5
4.3,36.5,14.5
4.4,36,15
4.5,36,12
4.6,36.5,12
4.7,36,12
4.8,35.5,12
4.9,37,13
5,36.5,13.5
5.1,36.5,13.5
5.2,37,10
5.3,37,11
5.4,36.5,12.5
5.5,36,12.5
5.6,36,13
5.7,35,13
5.8,35.5,10
5.9,36.5,11.5
6,36,12
6.1,36.5,11
6.2,36.5,12
6.3,36,13
6.4,36.5,13.5
6.5,36,14
6.6,36,14.5
6.7,36,15
6.8,35,11
6.9,35.5,11.5
7,36,12
7.1,36,12
7.2,36,12.5
7.35,36,9.5
7.4,36,9.5
7.5,36.5,10
7.6,36,10
7.7,36,10.5
7.8,36,11
7.9,36,12
8,35.5,12
8.1,35,13
8.2,35.5,14
8.3,35.5,14
8.4,35,14
8.45,35,12
8.55,35.5,10
8.6,35.4,10
8.7,35,10
8.8,34.5,10
8.9,35.5,10
