Run,20150821-20lps-001-eq,1500
x (m),WS (cm),BED (cm)
2,32,19
2.1,32,18.5
2.2,31.5,18
2.3,31,18
2.35,31,18
2.45,31,18.5
2.5,31,18
2.6,31,19
2.7,31,19
2.8,31,18.5
2.9,31,18
3,31,18
3.1,31,18.5
3.2,30.5,18
3.3,30,18
3.4,30.5,17
3.5,31,17
3.6,31,16.5
3.7,31,16
3.8,32,16
3.9,30,16
4,30,16.5
4.1,31,17
4.2,30,17
4.3,30,17
4.4,30,17
4.5,30,17
4.6,30,16.5
4.7,29.5,17
4.8,29,17
4.9,29,18
5,29,18
5.1,31,18
5.2,27,16
5.3,28,17
5.4,28.5,17
5.5,29,17
5.6,28.5,17
5.7,27.5,16
5.8,27,16.5
5.9,29,16
6,29,16
6.1,29,15.5
6.2,29,16
6.3,27,15
6.4,27,15
6.5,28,16
6.6,31,16.5
6.7,31,16.5
6.8,29.5,14
6.9,29,14.5
7,30,15
7.1,29,15
7.2,29,15
7.35,29,16
7.4,28,16
7.5,27.5,16
7.6,27,16.5
7.7,27,15.5
7.8,26,15
7.9,26,15
8,26,16
8.1,28,16.5
8.2,27,16
8.3,26,15
8.4,25.5,15
8.45,26,15
8.55,27,15
8.6,27,14.5
8.7,27.5,14
8.8,25,14
8.9,27,9
