Run,20150715-001-eq,1500
x (m),WS (cm),BED (cm)
2,33.5,15.5
2.1,33.5,15
2.2,33,15
2.35,33,15
2.45,33,14
2.5,33,14
2.6,33,14
2.7,33,14
2.8,33,14
2.9,33,14
3,33,14
3.1,33,15
3.2,33,15
3.3,33,15
3.4,33,13
3.5,33,12
3.6,33,11
3.7,33,11
3.8,33,11
3.9,33,12
4,33,12
4.1,32.5,12.5
4.2,32.5,13
4.3,32,13
4.4,32,13
4.5,32,14
4.6,31.5,14.5
4.7,32,14
4.8,32,14
4.9,32,10
5,33,10
5.1,33,10.5
5.2,32.5,11
5.3,32,11.5
5.4,31.5,12
5.5,32,12
5.6,31,12.5
5.7,31,13
5.8,31,12.5
5.9,31,12
6,32,14
6.1,32,15
6.2,32,14.5
6.3,31,14
6.4,31,14
6.5,31,11
6.6,31,10.5
6.7,31,10.5
6.8,31,11
6.9,31,11
7,31,11.5
7.1,31,12
7.2,32,12
7.35,31,12
7.4,30,12.5
7.5,31,12.5
7.6,31,10.5
7.7,31,10
7.8,30,10
7.9,31,9
8,31,9.5
8.1,31,9
8.2,31,10
8.3,31,10.5
8.4,31.5,10.5
8.45,31,10.5
8.55,31,11
8.6,31,11
8.7,31,11.5
8.8,30,11.5
8.9,30,12
