Run,20150729-20lps-001-eq,8000
x (m),WS (cm),Bed (cm)
2,35,25
2.1,34.5,25
2.2,34.5,24.5
2.3,34,24
2.35,33.5,24
2.45,33,23.5
2.5,33,24
2.6,33,24.5
2.7,33.5,24.5
2.8,33.5,24
2.9,33,23.5
3,32,23
3.1,32,23
3.2,33,23.5
3.3,33,23.5
3.4,32.5,23
3.5,32,22
3.6,31.5,22
3.7,31,22
3.8,31,21.5
3.9,31,22
4,31,22
4.1,31,22
4.2,31,22
4.3,31,21
4.4,30,20.5
4.5,30,21
4.6,30,21
4.7,30.5,21
4.8,31,22
4.9,31,21
5,30,21
5.1,30,21
5.2,30,21
5.3,30,21
5.4,30,21
5.5,30,21
5.6,29,19
5.7,28.5,19.5
5.8,28,20
5.9,29,20.5
6,29,20.5
6.1,29,19
6.2,28.5,20
6.3,29,20
6.4,29,19
6.5,29,19
6.6,29,19
6.7,28,19
6.8,28,19
6.9,28,19
7,27.5,18.5
7.1,27,18
7.2,26,18.5
7.35,26,18
7.4,25,16
7.5,25,16
7.6,25,16
7.7,26,16
7.8,27,15
7.9,27,15
8,26.5,16
8.1,26,18
8.2,26,18
8.3,26,17
8.4,26,18
8.45,26,18
8.55,25,18
8.6,26,19
8.7,26,17
8.8,27,13
8.9,27,9
