Run,20140624-001-eq,1500
x (m),WS (cm),BED (cm)
2,35,14
2.1,35,14
2.2,34.5,14
2.3,35,12
2.5,35.5,12.5
2.6,35,14
2.7,34.5,12
2.8,33.5,15
2.9,34.5,15.5
3,34.5,14
3.1,34,14.5
3.2,34.5,15
3.3,33.5,13.5
3.4,34,14
3.5,33.5,14.5
3.6,33,14
3.7,34,12.5
3.8,34,12.5
3.9,34,12
4,33.5,11.5
4.1,33,12
4.2,33.5,13.5
4.3,32.5,14
4.4,32.5,14
4.5,33,13
4.6,33,12.5
4.7,33,13
4.8,33.5,12.5
4.9,33,13
5,34,13
5.1,33,12
5.2,32.5,15
5.3,32,14.5
5.4,33.5,12.5
5.5,33.5,11
5.6,33,10
5.7,32.5,13
5.8,32.5,12.5
5.9,32,13
6,33.5,12.5
6.7,31.5,9.5
6.8,32,10
6.9,32.5,9
7,33,12
7.1,32.5,12
7.2,34,12
7.4,32,10
7.5,32,11
7.6,33,11.5
7.7,32,12
7.8,32,11
7.9,31,10.5
8,31.5,11
8.1,32,12
8.2,32.5,13
8.3,34,13.5
8.4,32.5,13
8.5,33,13
8.6,32.5,13
8.7,31.5,12.5
8.8,32,12
8.9,30.5,8
