Run,20140722-001-ag,1000
x (m),WS (m),Bed (m)
2,37.5,16
2.1,37,15
2.2,36.5,14
2.3,36.5,14
2.35,36.5,14
2.45,37,14
2.6,37,14
2.7,36.5,14
2.8,37,15
2.9,36.5,15
3,37,15
3.1,37,15
3.2,37,15
3.3,37,15
3.4,37,15
3.5,37,14.5
3.6,37.5,14.5
3.7,37.5,14.5
3.8,35,14.5
3.9,36,14.5
4,36,15
4.1,35,12
4.2,36,12
4.3,36,12
4.4,36.5,12.5
4.5,36,13
4.6,36.5,13
4.7,37,13.5
4.8,34,14
4.9,36,15
5,37,15
5.1,36.5,15
5.2,36,15
5.3,36,15
5.4,36,15.5
5.5,35,16
5.6,34.5,16
5.7,34,15
5.8,35,11
5.9,33.5,12
6,35,12
6.1,35.5,12
6.2,36,12
6.3,35.5,12
6.4,35,12
6.5,35.5,13
6.6,36,13.5
6.7,35,13
6.8,36,13
6.9,35,13
7,36,13
7.1,35,11
7.2,35.5,11
7.35,35.5,11.5
7.4,35.5,12
7.5,35,12
7.6,35,12.5
7.7,34.5,12.5
7.8,35,13
7.9,33,13
8,35,14
8.1,33,14
8.2,33,14.5
8.3,33.5,14.5
8.4,34,14.5
8.45,33.5,14.5
8.55,33,15
8.6,33,15
8.7,34,14.5
8.8,34,9
8.9,33,7
