Run,20150806-20lps-003-eq,16000
x (m),WS (cm),Bed (cm)
2,41.5,33.5
2.1,41,33
2.2,40,31.5
2.3,40,31
2.35,39.5,31
2.45,39,30.5
2.5,39,30.5
2.6,39,30.5
2.7,39,30.5
2.8,39,30.5
2.9,39,30
3,39,30
3.1,38,30
3.2,37.5,29.5
3.3,37,30
3.4,38,30
3.5,38,30
3.6,37.5,29.5
3.7,36.5,28
3.8,36.5,28
3.9,36,28
4,36,28
4.1,35.5,27.5
4.2,35.5,27.5
4.3,35.5,28
4.4,35.5,28
4.5,35,28
4.6,34,26.5
4.7,34,26
4.8,34,26
4.9,33.5,26
5,33,26
5.1,33,26
5.2,34,26
5.3,33.5,26
5.4,33,25.5
5.5,32.5,25
5.6,32,24
5.7,32,24
5.8,31.5,23.5
5.9,31.5,24
6,31,24
6.1,31,23.5
6.2,31,23
6.3,31,23.5
6.4,31,23.5
6.5,31,23
6.6,30.5,23
6.7,30.5,23
6.8,30.5,23
6.9,30,23
7,29,21.5
7.1,29,21.5
7.2,29,21.5
7.35,29,21
7.4,29,21
7.5,28.5,21
7.6,28,20.5
7.7,28,20
7.8,28,20
7.9,27.5,20
8,27,19.5
8.1,27,19.5
8.2,27,19
8.3,27,19.5
8.4,27,19
8.45,27,19
8.55,26,18.5
8.6,26,18.5
8.7,26,18.5
8.8,25.5,18
8.9,25.5,10.5
