Run,20141119-002-eq,12000
x (m),WS (cm),Bed (cm)
2,46,32
2.1,45.5,31.5
2.2,45.5,31.5
2.3,45,31
2.35,44.5,31
2.45,44,31
2.5,44,31
2.6,44,31
2.7,44.5,31
2.8,44.5,31
2.9,45,31
3,43,30
3.1,42,30
3.2,42,30
3.3,42.5,30
3.4,42,29.5
3.5,42,30
3.6,42,30
3.7,42,29
3.8,42,29
3.9,41.5,29
4,40.5,28
4.1,40,28
4.2,40.5,28
4.3,41,28
4.4,41,28.5
4.5,40,28
4.6,41,28
4.7,41,28
4.8,40,27
4.9,38,26
5,38,26
5.1,38,26.5
5.2,40,27.5
5.3,40,27.5
5.4,39.5,27
5.5,39,28
5.6,38.5,27
5.7,38,26
5.8,37,26
5.9,37,25
6,37,25.5
6.1,38,26
6.2,38,26
6.3,38,26
6.4,38,26
6.5,38,26
6.6,38,25
6.7,37,25
6.8,37,24
6.9,36,24
7,36,24
7.1,38,26
7.2,39,26
7.35,37,25
7.4,37,25
7.5,36,24.5
7.6,35,23
7.7,35,22.5
7.8,35,22
7.9,35,22
8,35,23
8.1,36,23.5
8.2,35,22.5
8.3,35,23
8.4,34,23
8.45,34,23
8.55,34,22
8.6,33,22
8.7,33,20.5
8.8,32,21
8.9,33,11
