Run,20140722-007-eq,2000
x (m),WS (cm),Bed (cm)
2,42,24
2.1,42,23
2.2,41.5,22
2.35,41.5,21
2.45,42,21.5
2.6,41.5,21
2.7,41,21.5
2.8,41.5,22
2.9,41.5,22.5
3,41.5,23
3.1,41,23
3.2,41,23
3.3,40.5,23.5
3.4,40,24
3.5,40,23.5
3.6,40,23.5
3.7,40,23
3.8,39,22.5
3.9,39,22
4,41,22
4.1,40,21.5
4.2,40,22
4.3,40,22
4.4,39.5,21
4.5,40,21
4.6,40,21.5
4.7,39,20
4.8,38,20
4.9,38,21
5,40.5,21
5.1,41,21
5.2,37.5,21
5.3,36.5,21
5.4,37,21.5
5.5,38,22
5.6,39,21.5
5.7,39,21
5.8,38,20
5.9,36,21.5
6,40,22
6.1,40,22
6.2,37,22
6.3,38,22
6.4,36,21.5
6.5,38,22
6.6,38,22
6.7,39,21
6.8,38.5,20.5
6.9,37,20.5
7,37.5,22
7.1,38,21
7.2,38,22
7.35,37,21
7.4,37,20
7.5,36,19
7.6,34,18
7.7,35,18.5
7.8,35.5,18
7.9,36,19
8,37,19.5
8.1,38,20
8.2,38.5,20
8.3,37,20
8.45,35,18
8.55,35,18
8.6,36,19
8.7,36.5,18.5
8.8,35,18
8.9,35,10
