Run,20140722-006-ag,1000
x (m),WS (m),Bed (m)
2,40,19
2.1,40,19
2.2,39.5,18
2.3,39,17.5
2.35,39.5,17
2.45,39.5,17.5
2.6,39.5,17
2.7,39,17.5
2.8,39.5,17.5
2.9,39,18
3,39,18
3.1,39,18
3.2,39,18
3.3,39,18
3.4,38.5,18
3.5,38.5,18.5
3.6,38.5,17.5
3.7,39,17.5
3.8,37.5,17
3.9,39,17
4,39,17
4.1,38.5,17
4.2,38,16.5
4.3,38.5,16
4.4,38,16
4.5,39,16
4.6,38,16
4.7,38,16
4.8,38.5,15.5
4.9,39.5,15
5,39.5,14.5
5.1,38.5,15
5.2,38.5,15
5.3,39,15.5
5.4,38.5,15.5
5.5,38,15.5
5.6,37.5,15.5
5.7,37.5,15
5.8,37.5,15
5.9,38.5,16.5
6,38.5,16.5
6.1,37.5,16
6.2,37.5,16
6.3,37,15.5
6.4,38,15.5
6.5,38,16
6.6,37.5,16.5
6.7,37.5,17
6.8,37,17
6.9,36.5,17
7,38.5,14
7.1,38,14.5
7.2,38,15
7.35,38,15.5
7.4,37.5,15.5
7.5,37.5,16
7.6,37.5,16.5
7.7,37,16.5
7.8,36.5,17
7.9,37,17.5
8,38,18
8.1,37,18
8.2,36,18
8.3,36,18.5
8.4,35.5,18.5
8.45,37,13
8.55,36.5,13.5
8.6,37,13.5
8.7,36.5,13
8.8,36.5,12.5
8.9,36,10
