Run,20150821-20lps-001-eq,1500
x (m),WS (cm),BED (cm)
2,32.5,18.5
2.1,32,18.5
2.2,32,18.5
2.3,31,18
2.35,31,18.5
2.45,31,18
2.5,31.5,19
2.6,31.5,19
2.7,31,19
2.8,32,19
2.9,32,17.5
3,32,17.5
3.1,32,17.5
3.2,32.5,17.5
3.3,32,17.5
3.4,31.5,17.5
3.5,31,17.5
3.6,31,17.5
3.7,31.5,17
3.8,30.5,16
3.9,30.5,16
4,31,15
4.1,31,16
4.2,30,16.5
4.3,30.5,17
4.4,31,17.5
4.5,30,17.5
4.6,29,17
4.7,29.5,16.5
4.8,30,17
4.9,28,17
5,28.5,17
5.1,30,16.5
5.2,29.5,16.5
5.3,30,16.5
5.4,30.5,17
5.5,30,17
5.6,28,16.5
5.7,28,16
5.8,28.5,15.5
5.9,28.5,18
6,29,18
6.1,29,17
6.2,28.5,17
6.3,29,17
6.4,29,16.5
6.5,29,16.5
6.6,28.5,16.5
6.7,28.5,16
6.8,28.5,16.5
6.9,27,15
7,28.5,14.5
7.1,28,14
7.2,28,14
7.35,27,14
7.4,27,13
7.5,27,13.5
7.6,27.5,14
7.7,28,15
7.8,29.5,15
7.9,29,15.5
8,27.5,16.5
8.1,28.5,16
8.2,27,15
8.3,26,14
8.4,26,14
8.45,26.5,14
8.55,28.5,14.5
8.6,28,14
8.7,27,14
8.8,27.5,14
8.9,27.5,9
