Run,20140722-008-ag,1000
x (m),WS (m),Bed (m)
2,41.5,20
2.1,41,19.5
2.2,40.5,19
2.3,40.5,18.5
2.35,40.5,18
2.45,41,19
2.6,41,19.5
2.7,40,21
2.8,41,21
2.9,40,18
3,39.5,17.5
3.1,40,17.5
3.2,40,18
3.3,40,18
3.4,40,18.5
3.5,40,19
3.6,40,18
3.7,40,18.5
3.8,38.5,19
3.9,40,20
4,40,20
4.1,39.5,20
4.2,39,16
4.3,39.5,16.5
4.4,40.5,16.5
4.5,40,17
4.6,40,17.5
4.7,40,18
4.8,40,18.5
4.9,40,19
5,41,19
5.1,40,16.5
5.2,40,16.5
5.3,40,17
5.4,40.5,17.5
5.5,40,18
5.6,39.5,18.5
5.7,39,18
5.8,38.5,18.5
5.9,38,19
6,40,16
6.1,39,16
6.2,38,16
6.3,38,16
6.4,38,16.5
6.5,39,17
6.6,40,17.5
6.7,39.5,17.5
6.8,38,17.5
6.9,38.5,18
7,39.5,18
7.1,38,18
7.2,38,15
7.35,39,15.5
7.4,39,16
7.5,38.5,16
7.6,38.5,16
7.7,38,16
7.8,38,14
7.9,38,14.5
8,39,15
8.1,38,15
8.2,38,15.5
8.3,38,16
8.4,37.5,17
8.45,37,17
8.55,38,14.5
8.6,37.5,14.5
8.7,37,14
8.8,37,14
8.9,37,10
