Run,20150721-001-ag,1500
x (m),WS (cm),BED (cm)
2,38,19
2.1,37.5,18.5
2.2,37,16.5
2.35,37.5,16
2.45,37.5,16
2.5,38,18
2.6,38,18
2.7,37.5,18.5
2.8,37,19
2.9,37.5,16.5
3,37,16
3.1,37,16.5
3.2,37.5,17
3.3,37.5,17
3.4,37,18
3.5,37,18
3.6,37,15.5
3.7,37,15
3.8,37,15.5
3.9,37,16
4,37.5,17
4.1,35.5,17.5
4.2,35.5,18
4.3,36,18
4.4,36,18.5
4.5,36,15
4.6,35.5,15
4.7,36,15
4.8,36,15
4.9,37,15.5
5,37.5,15
5.1,36.5,15
5.2,36,13.5
5.3,37.5,15
5.4,37,15
5.5,36.5,15
5.6,36,14.5
5.7,36,15
5.8,36,15.5
5.9,35,17
6,36.5,17
6.1,35.5,15
6.2,35,14.5
6.3,35,14
6.4,35,14
6.5,36,14.5
6.6,36.5,15
6.7,36,15
6.8,35.5,15
6.9,35.5,15.5
7,36,16
7.1,35,13
7.2,36,13
7.35,36.5,14
7.4,35.5,14.5
7.5,35.5,15
7.6,35,15
7.7,35,15
7.8,34.5,15
7.9,34.5,15.5
8,35,10.5
8.1,35,10.5
8.2,34.5,11
8.3,35,12
8.4,35,12
8.45,35.5,12
8.55,35.5,13
8.6,35,13
8.7,34.5,13
8.8,34.5,13
8.9,35,9
