Run,20150721-001-ag,1500
x (m),WS (cm),BED (cm)
2,32.5,15
2.1,32.5,15.5
2.2,32,14
2.35,32,13
2.45,32,12.5
2.5,32,12
2.6,32,12
2.7,32,12.5
2.8,32.5,13.5
2.9,32,13.5
3,31.5,12.5
3.1,31,13
3.2,31,13
3.3,31,13
3.4,31,13
3.5,31.5,13
3.6,31.5,12
3.7,31.5,10.5
3.8,31.5,10.5
3.9,31,10.5
4,32,12
4.1,31,12
4.2,31,9
4.3,32,7.5
4.4,32.5,8
4.5,32,8
4.6,32,9.5
4.7,32,9.5
4.8,31,10
4.9,32,10.5
5,32.5,10.5
5.1,31.5,7
5.2,31.5,7.5
5.3,31.5,7.5
5.4,31.5,8
5.5,31.5,8
5.6,32,9
5.7,31,9
5.8,30,9.5
5.9,32,11
6,31,11.5
6.1,31,12
6.2,30.5,11.5
6.3,30,11.5
6.4,30,11
6.5,30.5,7.5
6.6,30,8
6.7,30,8
6.8,30,8.5
6.9,30.5,8.5
7,32,10.5
7.1,30,10
7.2,30,10
7.35,30,10.5
7.4,29.5,10.5
7.5,29,11
7.6,29,11
7.7,29,11
7.8,28.5,11
7.9,28,11
8,28,11.5
8.1,28.5,12.5
8.2,28,12
8.3,27,12
8.4,28,7
8.45,28,6
8.55,29,5.5
8.6,30,6
8.7,29,5.5
8.8,28,5
8.9,28,5
