Run,20140722-002-ag,1000
x (m),WS (m),Bed (m)
2,38,17
2.1,38,16
2.2,37.5,16.5
2.3,37.5,16
2.35,37,15
2.45,38,15.5
2.6,37.5,15.5
2.7,37.5,16
2.8,37.5,16
2.9,37,16
3,37,16
3.1,37.5,16
3.2,37,16
3.3,37.5,16.5
3.4,37,15.5
3.5,37,15.5
3.6,37.5,15
3.7,37,15
3.8,36.5,16
3.9,37,16
4,37.5,16.5
4.1,37.5,16.5
4.2,35.5,16
4.3,36,15
4.4,37,14.5
4.5,37.5,14.5
4.6,36.5,13.5
4.7,36.5,14
4.8,35,14
4.9,36,15
5,37,15
5.1,36,15.5
5.2,36.5,15.5
5.3,36.5,16
5.4,36,16
5.5,36,16
5.6,35.5,11.5
5.7,35.5,11.5
5.8,35,11.5
5.9,37,13
6,36.5,13
6.1,36,14
6.2,36.5,14
6.3,36,13
6.4,35.5,13.5
6.5,36.5,14
6.6,36,11
6.7,36,11
6.8,35,11.5
6.9,36,12
7,36,13
7.1,36,14
7.2,36,14.5
7.35,35.5,14.5
7.4,36,15
7.5,36.5,10
7.6,37,10
7.7,35.5,10
7.8,36,10.5
7.9,37,11
8,37,11.5
8.1,36,12
8.2,36.5,12.5
8.3,36,13
8.4,36,14
8.45,36,14
8.55,36,15
8.6,36,15
8.7,35.5,15
8.8,34,14.5
8.9,34,10
