Run,20150626-001-ag,10000
x (m),WS (cm),Bed (cm)
2,35.5,22
2.1,35,21.5
2.2,34.5,21
2.3,34,21
2.35,34,20
2.45,33,20
2.5,33,20
2.6,33,20
2.7,33.5,20.5
2.8,33.5,20.5
2.9,33.5,20
3,33,19.5
3.1,32,19.5
3.2,32,20
3.3,32,19.5
3.4,32,19.5
3.5,32,19.5
3.6,32.5,19.5
3.7,32,18.5
3.8,31.5,19
3.9,31.5,18
4,30.5,18
4.1,31,18
4.2,31,18
4.3,30.5,18
4.4,31,18
4.5,30.5,18
4.6,31,18
4.7,30,17.5
4.8,30,17
4.9,28.5,17
5,29,17
5.1,28.5,16.5
5.2,30,17
5.3,30,17.5
5.4,30,18
5.5,30,18
5.6,28.5,16
5.7,28,15
5.8,28,16
5.9,28,16.5
6,28,16
6.1,30,17
6.2,29.5,17
6.3,29.5,17
6.4,30,16.5
6.5,29,16.5
6.6,28,15
6.7,28,15
6.8,28,16
6.9,28.5,14.5
7,28,16.5
7.1,28,16
7.2,28.5,16
7.35,26.5,15
7.4,26,15
7.5,26,14.5
7.6,26,14
7.7,26.5,14.5
7.8,27,13
7.9,26.5,14
8,28,14
8.1,28,14
8.2,28,16
8.3,27.5,16
8.4,26,12
8.45,27.5,13
8.55,25,13
8.6,27,12
8.7,26,12
8.8,29,13
8.9,27,10
