Run,20140722-005-eq,2000
x (m),WS (cm),Bed (cm)
2,40,22
2.1,40,21.5
2.2,39.5,21.5
2.35,39,21.5
2.45,38.5,22
2.6,38.5,22.5
2.7,39,21
2.8,38,21
2.9,38,21
3,37.5,23
3.1,37.5,23
3.2,38,23
3.3,37,22
3.4,37,22.5
3.5,37.5,22
3.6,37.5,21.5
3.7,37,20.5
3.8,37,20
3.9,37,20
4,39,20
4.1,38.5,18.5
4.2,38,19
4.3,38,19
4.4,38,18.5
4.5,37,18
4.6,40,19
4.7,36,18.5
4.8,36,19
4.9,38,18.5
5,38,18.5
5.1,37.5,19
5.2,37.5,19.5
5.3,37,20
5.4,36,20
5.5,36,20.5
5.6,35.5,21
5.7,37,20
5.8,37,15.5
5.9,36.5,16
6,38,16
6.1,38,17
6.2,37.5,16.5
6.3,37,17
6.4,36.5,17.5
6.5,38,18
6.6,38,18.5
6.7,38,18
6.8,36.5,18.5
6.9,37,18.5
7,38.5,19
7.1,36,19
7.2,35,19
7.35,35,18
7.4,35,18.5
7.5,36,18.5
7.6,37,19
7.7,37,18.5
7.8,36,17.5
7.9,35,15
8,34,16.5
8.1,35,16
8.2,34.5,16
8.3,35,16
8.45,35,16
8.55,36.5,16.5
8.6,38,16.5
8.7,35,16
8.8,34.5,16
8.9,33,10
