Run,20140709-001-ag,1500
x (m),WS (cm),BED (cm)
2,39,19
2.1,39,18
2.2,38,18
2.3,38,17
2.5,38,17
2.6,38,17
2.7,37,16
2.8,38,17
2.9,38,16
3,37,18
3.1,38,18
3.2,37,19
3.3,37,17
3.4,37,16
3.5,38,17
3.6,38,17
3.7,37,17
3.8,37,17
3.9,36,17
4,37,17
4.1,37,17
4.2,37,17
4.3,36,17
4.4,38,18
4.5,37,17
4.6,37,16
4.7,37,15
5,38,16
5.1,38,15
5.2,37,15
5.3,38,15
5.4,37,15
5.5,37,15
5.6,37,15
5.7,36,14
5.8,36,16
5.9,38,15
6,38,15
6.4,37,16
6.5,37.5,16
6.7,36,16
6.8,35,16
6.9,34,16
7,36,17
7.1,35,16
7.2,34,16
7.4,35,16
7.5,35,17
7.6,35,16
7.7,35,16
7.8,34,13
7.9,34,15.5
8,36,15
8.1,35.5,16
8.2,34,16
8.3,33.5,16.5
8.4,34,16
8.6,34,13
8.7,35,13
8.8,34,13
8.9,34,11
