Run,20140926-001-ag,3000
x (m),WS (cm),Bed (cm)
2,40,23
2.1,39.5,22
2.2,39,21
2.3,38.5,21
2.35,38,21
2.45,39,21
2.5,39,21
2.6,39,21
2.7,38,22
2.8,38,22
2.9,37.5,22
3,38,22
3.1,38,21
3.2,39,22
3.3,39,22
3.4,37.5,21
3.5,37,21
3.6,36,22
3.7,36,22
3.8,36,20
3.9,36,20
4,36,20
4.1,36,21
4.2,37,21
4.3,36.5,19
4.4,36,19
4.5,36,20
4.6,37,20.5
4.7,38,21
4.8,37,20.5
4.9,36,19.5
5,36,18
5.1,37,19
5.2,38,21
5.3,37,21
5.4,36,20
5.5,36,18
5.6,37,18
5.7,37.5,18
5.8,35,19
5.9,35.5,20
6,35,20
6.1,36,20.5
6.2,36,20
6.3,36,19
6.4,37,19
6.5,37,18.5
6.6,36,17
6.7,36,17
6.8,36,16.5
6.9,36,16.5
7,37,19
7.1,36,18
7.2,35,17
7.35,34,17
7.4,32,16
7.5,32,16
7.6,33,16
7.7,32.5,16.5
7.8,35,15
7.9,34,18
8,33,18
8.1,35,18
8.2,34,18
8.3,34.5,18
8.4,34,18
8.45,33,17
8.55,35,18
8.6,35,17
8.7,33,15
8.8,32,12
8.9,32,9
