Run,20140730-004-eq,2000
x (m),WS (cm),Bed (cm)
2,39.5,21
2.1,39,21
2.2,38.5,20
2.35,38,20
2.45,38,19
2.6,38,20
2.7,38.5,19.5
2.8,38,20
2.9,38,20.5
3,38,21
3.1,38,21
3.2,38,20.5
3.3,38,20
3.4,38.5,19
3.5,38,18.5
3.6,38,18.5
3.7,38.5,18
3.8,38,18.5
3.9,37.5,18
4,38.5,19
4.1,37,19
4.2,36,19
4.3,36,19
4.4,37,19
4.5,37,19.5
4.6,36.5,19.5
4.7,36,19
4.8,35,20
4.9,35,20
5,35,20
5.1,35,20
5.2,34.5,16.5
5.3,35,16.5
5.4,35.5,17
5.5,38,17
5.6,39,17
5.7,38,16.5
5.8,35,16
5.9,34,17.5
6,36,17.5
6.1,38,18
6.2,37,18
6.3,36.5,18
6.4,36,17.5
6.5,37,18
6.6,37.5,18.5
6.7,35.5,18
6.8,34.5,18
6.9,34,17
7,35,17.5
7.1,34.5,18
7.2,34,18
7.35,35.5,18
7.4,35,17.5
7.5,34,17
7.6,34,17
7.7,33,17.5
7.8,34,18
7.9,33.5,18
8,33,18.5
8.1,33,19
8.2,33,18.5
8.3,33,18
8.45,32,16.5
8.55,31,16.5
8.6,32,16
8.7,33,15.5
8.8,32,15.5
8.9,32.5,10
