Run,20140722-005-ag,1000
x (m),WS (m),Bed (m)
2,39,18.5
2.1,38.5,18
2.2,39,17.5
2.3,38.5,17
2.35,38.5,18.5
2.45,38.5,18.5
2.6,38.5,18
2.7,38.5,18
2.8,38.5,19
2.9,38.5,18.5
3,39,17.5
3.1,38.5,15.5
3.2,38,15.5
3.3,38.5,16
3.4,38.5,16.5
3.5,39,17
3.6,39,17
3.7,39,17
3.8,36.5,17.5
3.9,39,18
4,38.5,18.5
4.1,37.5,18.5
4.2,38.5,18.5
4.3,38,18
4.4,38.5,15
4.5,39,15
4.6,37,15.5
4.7,38,16
4.8,39,16
4.9,38,17
5,39,17
5.1,38,17
5.2,38.5,16.5
5.3,38.5,16.5
5.4,38.5,13
5.5,38.5,12.5
5.6,38.5,12
5.7,38.5,11.5
5.8,38.5,12
5.9,39,13.5
6,38,14.5
6.1,39,15.5
6.2,39,15.5
6.3,39,15.5
6.4,38.5,16
6.5,38,17
6.6,38.5,16.5
6.7,38,16.5
6.8,37.5,17.5
6.9,36.5,18
7,37.5,17
7.1,38,12.5
7.2,37.5,12
7.35,36.5,12
7.4,36,12
7.5,38,12.5
7.6,37.5,13
7.7,36.5,13
7.8,35.5,12.5
7.9,36.5,12.5
8,38,13
8.1,37,15
8.2,36.5,15.5
8.3,36.5,16
8.4,36.5,16
8.45,36,11
8.55,36,11
8.6,36,11
8.7,36,11
8.8,35.5,11
8.9,35.5,11
