Run,20150626-003-ag,10000
x (m),WS (cm),Bed (cm)
2,39,25.5
2.1,39,25
2.2,38,24.5
2.3,38,24
2.35,38,24
2.45,37,24
2.5,37,24
2.6,37,24
2.7,37,24.5
2.8,37,24
2.9,37,24
3,36.5,23.5
3.1,36,23
3.2,36,23
3.3,36,23.5
3.4,36,23
3.5,35.5,23
3.6,36,22.5
3.7,35.5,21
3.8,35,22
3.9,35,22
4,34.5,22
4.1,35,22
4.2,34.5,22
4.3,34,21
4.4,34.5,22.5
4.5,35,21.5
4.6,35,21.5
4.7,34.5,21
4.8,34,21
4.9,33,20
5,33,21
5.1,33.5,20
5.2,34,21
5.3,33.5,20
5.4,33,21
5.5,34,22
5.6,31.5,19
5.7,32,19
5.8,32,19.5
5.9,32,20
6,32.5,21
6.1,33,19.5
6.2,33.5,21
6.3,33,20.5
6.4,32.5,20
6.5,32,20
6.6,32,20
6.7,32,19
6.8,31,18.5
6.9,30,18
7,30,19
7.1,31,19
7.2,32,19.5
7.35,31,19.5
7.4,31,19
7.5,30,18
7.6,29.5,17.5
7.7,30.5,17
7.8,30,16.5
7.9,30,17
8,31,18
8.1,29,17.5
8.2,30,18
8.3,32,17
8.4,29,17
8.45,29,17
8.55,30,15
8.6,29,17
8.7,30,18
8.8,30,18
8.9,31,10
