NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
14:16:08,10/17/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20141017-6000-eq\6000-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,19,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,295,10,,,,,
Transducer 2,6680,0,300,11,,,,,
Transducer 3,8680,0,302,12,,,,,
Transducer 4,5680,0,293,13,,,,,
Transducer 5,4680,0,300,14,,,,,
Transducer 6,3680,0,305,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,2,2,204.6,199,179.6,207.9,215.9,229.9
2, 0:00:07,6.6,6.6,184.9,200.2,188,212,222.9,233.8
3, 0:00:12,11.6,11.6,206.9,221.2,160.2,215.9,219.2,228.8
4, 0:00:17,16.5,16.5,196.7,206.5,156.9,198.4,213.5,235
5, 0:00:22,22.1,22.1,177,198.3,181.7,220.1,224.8,230.4
6, 0:00:27,27.1,27.1,204,215.3,181.8,216.9,215.7,234.7
7, 0:00:32,32.1,32.1,197.8,195.8,188.8,200.1,223.9,234.3
8, 0:00:37,36.7,36.7,183.3,192.2,179.7,218,215.6,228.7
9, 0:00:42,41.7,41.7,203.2,220.9,160.4,200.3,219.2,232
10, 0:00:47,46.7,46.7,206.9,216,178.6,220,226.8,231
11, 0:00:52,52.1,52.1,181.6,199.5,185.1,213.9,218.4,233.4
12, 0:00:57,56.7,56.7,170.5,199,174.9,198.5,218.3,234.1
13, 0:01:02,61.7,61.7,175.1,217.6,201.9,217.3,218.2,232.1
14, 0:01:07,67.1,67.1,211.9,220.6,202.8,211.9,217.7,232
15, 0:01:12,71.7,71.7,201.4,212.4,193.9,210.8,224.3,233.1
16, 0:01:17,76.7,76.7,183.7,198.6,183.3,214,219.8,231
17, 0:01:22,81.7,81.7,176.7,193.9,167.7,204.8,215.5,234.8
18, 0:01:27,87.1,87.1,207.9,190.8,174.2,205.9,223.7,230.9
19, 0:01:32,91.7,91.7,216.5,220.4,,223.2,216.8,235.8
20, 0:01:37,97.2,97.2,201.2,209.7,178.3,213,229.7,228.1
21, 0:01:42,101.7,101.7,185.7,196.8,160.1,219,216.2,234.9
22, 0:01:47,106.7,106.7,178.4,191,194.8,205.4,224.6,231.2
23, 0:01:52,111.7,111.7,207.3,196.6,196.2,205.7,217.5,233.1
24, 0:01:57,116.7,116.7,211.3,224.6,198.1,218.2,220,234.7
25, 0:02:02,121.7,121.7,204.6,214.4,186,217.8,222.9,233.3
26, 0:02:07,126.7,126.7,195.1,205.6,169.7,209.8,218.1,232.2
27, 0:02:12,132.1,132.1,179.6,195.7,159.8,212.4,220.9,235.2
28, 0:02:17,137.1,137.1,207.8,189.1,195.4,214.9,224,232.2
29, 0:02:22,141.7,141.7,208,214.6,198.7,208.7,215.3,234.3
30, 0:02:27,147.1,147.1,204.4,212.4,184.5,209.6,218.5,230.6
31, 0:02:32,151.7,151.7,190.5,203.3,170.8,216.7,220.6,234.1
32, 0:02:37,156.7,156.7,183.5,213.8,156.4,212.6,223.2,233
33, 0:02:42,162.2,162.2,175.2,193.5,181.4,206.2,218.3,232.1
34, 0:02:47,166.7,166.7,208.5,206.9,196.9,205.1,223.7,229
35, 0:02:52,171.7,171.7,202.3,219.3,194.4,218.9,219.5,235.2
36, 0:02:57,176.7,176.7,188.8,207.8,188.8,208.6,220.2,229
37, 0:03:02,181.7,181.7,177.9,190,184.1,206.4,216.6,229.1
38, 0:03:07,187,187,209.1,223.7,168.9,208.9,223.5,229.9
39, 0:03:13,192.8,192.8,211.6,217.3,186.2,217.4,220.3,235.1
40, 0:03:17,196.8,196.8,195.7,203.7,179.2,203.7,219.6,232
41, 0:03:22,202.3,202.3,179.2,197.3,159.2,212.8,210.1,232.2
42, 0:03:27,206.9,206.9,178.1,221.3,180,218.4,218.7,233.7
43, 0:03:32,211.9,211.9,197.9,210,198.5,223,222.8,235.8
44, 0:03:37,216.9,216.9,192.6,191.7,195.8,208.2,221.6,229.6
45, 0:03:42,221.8,221.8,204.7,190.2,195.1,205.4,212,233.6
46, 0:03:47,227.3,227.3,217.6,206.4,186.3,202,225.8,227.8
47, 0:03:52,231.9,231.9,211.8,224.9,172.1,223,215.5,231
48, 0:03:57,236.9,236.9,192.3,218.5,164.1,212.7,227.9,234.9
49, 0:04:02,241.9,241.9,179,197.3,202.8,203.4,225.5,235
50, 0:04:07,246.9,246.9,169,191.1,202.4,212,217,233.6
51, 0:04:12,252.3,252.3,201.6,219.1,200.6,201.5,222,230.9
52, 0:04:17,256.9,256.9,211.4,217.2,187.6,228.1,222.9,235.4
53, 0:04:22,261.9,261.9,201,209.8,171.2,215.9,219.4,231.4
54, 0:04:27,266.9,266.9,190.5,192.8,160.4,205.8,220.1,232.9
55, 0:04:32,271.9,271.9,177.8,187.2,162.4,207.9,222,234
56, 0:04:37,276.8,276.8,208.2,211.2,189.1,217.9,221.8,233.4
57, 0:04:42,281.8,281.8,206.4,215.8,199,201.7,217,232.1
58, 0:04:47,286.8,286.8,193.2,201.6,186.2,211.8,223.5,233.2
59, 0:04:52,291.7,291.7,186.3,202.6,171.9,213.8,220.6,232.3
60, 0:04:57,297.2,297.2,178.6,208.3,160.4,202.4,220.6,232.4
61, 0:05:02,301.8,301.8,175,198.4,175.2,214.7,219.1,229.7
62, 0:05:07,306.8,306.8,204.9,221.5,197.2,206.5,219.2,228.9
63, 0:05:12,311.7,311.7,199.1,201.9,193.9,210.6,222.4,235.9
64, 0:05:17,316.7,316.7,180.4,199.7,184.4,213.9,217.8,228.5
65, 0:05:22,322.2,322.2,204.2,204.8,174.1,204.2,217.8,231
66, 0:05:27,326.7,326.7,203.7,210.6,187.7,219.3,224.7,234.1
67, 0:05:32,331.7,331.7,196.7,214.6,175.7,212.2,216.7,230.7
68, 0:05:37,337.2,337.2,181.9,193.5,160,197.6,217.8,235.7
69, 0:05:42,341.7,341.7,185.9,221.4,186.8,215.6,216.7,234.4
70, 0:05:47,346.7,346.7,211.1,224.9,206,216.8,217.8,229.7
71, 0:05:52,351.7,351.7,192.9,210.4,194.4,214.5,217.7,231.9
72, 0:05:57,356.7,356.7,180.7,199.1,176.7,211.9,220.3,232.4
73, 0:06:02,361.7,361.7,176.1,193.6,168.9,200.3,220.2,230.2
74, 0:06:07,367.1,367.1,203.4,189.4,206.1,211.6,217,234.7
75, 0:06:12,371.7,371.7,214.5,207.3,197.6,213.5,224.2,230.7
76, 0:06:17,377.2,377.2,211.9,216.6,189.8,218,217.7,232.8
77, 0:06:22,381.7,381.7,204.5,206.4,164.9,213.6,221.6,235.9
78, 0:06:27,386.7,386.7,188.6,198.7,152.4,206.3,221,230.3
79, 0:06:32,391.7,391.7,175.7,196.8,168.4,208.8,216.1,231.3
80, 0:06:37,396.7,396.7,184,216.3,201,209.7,223.6,232.8
81, 0:06:42,402.1,402.1,204.3,202.3,198.7,218,219.8,234
82, 0:06:47,406.7,406.7,194.5,210.3,190.8,202.9,218.1,234.1
83, 0:06:52,411.6,411.6,184.3,202.3,181.9,214,218,233.3
84, 0:06:57,416.7,416.7,199.3,219,171.3,212.2,220.8,229.4
85, 0:07:02,422.1,422.1,192.6,201.8,159.7,210.9,220.9,235.8
86, 0:07:07,426.7,426.7,182.3,195.9,159.5,208.9,224.6,229.8
87, 0:07:12,431.7,431.7,207.5,215.3,176.2,205.7,215.9,229.2
88, 0:07:17,437.2,437.2,202.7,207.5,185.8,215.6,220.2,234
89, 0:07:22,442.2,442.2,191.6,218.8,164.4,216.8,221.7,234.8
90, 0:07:27,446.8,446.8,178.7,199.7,181.3,208.3,217.2,226
91, 0:07:32,451.8,451.8,176.5,193.9,198.8,214.5,222.1,236
92, 0:07:37,456.8,456.8,216.7,213.1,201.6,211.4,223.7,231.9
93, 0:07:42,461.7,461.7,216.2,218.6,195,209.2,215.1,228.8
94, 0:07:47,466.7,466.7,207.9,205.1,181.5,202.9,217.3,233.5
95, 0:07:52,471.7,471.7,194.4,201.3,162.4,223,223.5,229.6
96, 0:07:57,476.7,476.7,178.5,222,153.3,224.2,215.2,233.9
97, 0:08:02,481.7,481.7,197.7,200.5,191.7,207.8,222.9,233.8
98, 0:08:07,487.1,487.1,187.7,190.5,197.7,203.7,222.6,231.6
99, 0:08:12,491.7,491.7,221.6,222.4,196.4,219.3,212,232.8
100, 0:08:17,496.7,496.7,213.4,221.7,184.2,203.9,228.6,231.7
101, 0:08:22,501.7,501.7,196,207.5,166.2,219.5,218.8,231.4
102, 0:08:27,506.7,506.7,175.9,196.7,166.2,205.7,224.3,229.9
103, 0:08:32,511.6,511.6,173.3,199.1,198,201,215.5,232.3
104, 0:08:37,516.6,516.6,208,217,188.8,212.7,222.2,237.2
105, 0:08:42,522.1,522.1,208.8,215.5,178.8,222.3,223.4,231.4
106, 0:08:47,527.1,527.1,196.1,202.1,164.7,209.6,217.9,227.1
107, 0:08:52,532,532,187,195.8,154.2,202.2,224.8,234.6
108, 0:08:57,537,537,204.5,192.2,166.1,217,228.1,234.5
109, 0:09:02,542.5,542.5,211.1,220.7,193,206,217,231.2
110, 0:09:08,547.5,547.5,198.9,217.6,186.8,201.6,217.5,238.6
111, 0:09:12,551.6,551.6,192.2,208.3,170.2,227.3,226.4,232.4
112, 0:09:17,556.6,556.6,177.9,201.2,180.1,224.4,214.4,232.8
